Year,Make,Model,Category,Price
2021,MAZDA,MAZDA6,Sedan,24475.0
2021,MAZDA,MAZDA3,"Hatchback,Sedan",20650.0
2021,MAZDA,MX-5 Miata,Convertible,26830.0
2021,MAZDA,MX-5 Miata RF,Convertible,33045.0
2021,Mercedes-Benz,C-Class,Coupe,41600.0
2021,Mercedes-Benz,A-Class,Sedan,33650.0
2021,Mercedes-Benz,GLA,SUV,36230.0
2021,Mercedes-Benz,GLB,SUV,38050.0
2021,Mercedes-Benz,GLE,SUV,54750.0
2021,Mercedes-Benz,GLC,SUV,43200.0
2021,Mitsubishi,Outlander Sport,SUV,20995.0
2021,Nissan,Altima,Sedan,24450.0
2021,Nissan,Frontier King Cab,Pickup,27190.0
2021,Nissan,Frontier Crew Cab,Pickup,28300.0
2021,Nissan,Kicks,SUV,19550.0
2021,Nissan,LEAF,Hatchback,31670.0
2021,Nissan,Maxima,Sedan,37090.0
2021,Nissan,Murano,SUV,32810.0
2021,Nissan,NV3500 HD Cargo,Van/Minivan,36330.0
2021,Nissan,Rogue,SUV,25850.0
2021,Nissan,Sentra,Sedan,19460.0
2021,Nissan,TITAN XD Crew Cab,Pickup,45430.0
2021,Nissan,Versa,Sedan,14980.0
2021,Polestar,2,Hatchback,59900.0
2021,Porsche,718 Boxster,Convertible,62000.0
2021,Porsche,718 Cayman,Coupe,59900.0
2021,Porsche,Cayenne,SUV,67500.0
2021,Porsche,Macan,SUV,52100.0
2021,Ram,2500 Crew Cab,Pickup,38575.0
2021,Ram,1500 Crew Cab,Pickup,35645.0
2021,Ram,ProMaster Cargo Van,Van/Minivan,32385.0
2021,Ram,ProMaster City,Van/Minivan,25065.0
2021,Ram,2500 Mega Cab,Pickup,47875.0
2021,Subaru,Crosstrek,SUV,22245.0
2021,Ram,ProMaster Window Van,Van/Minivan,31540.0
2021,Subaru,Ascent,SUV,32295.0
2021,Subaru,Impreza,"Wagon,Sedan",18795.0
2021,Subaru,Forester,SUV,24795.0
2021,Subaru,Legacy,Sedan,22895.0
2021,Subaru,Outback,SUV,26795.0
2021,Tesla,Model S,Sedan,69420.0
2021,Toyota,4Runner,SUV,36765.0
2021,Toyota,Avalon,Sedan,36125.0
2021,Toyota,Avalon Hybrid,Sedan,37100.0
2021,Toyota,Camry,Sedan,25045.0
2021,Toyota,Camry Hybrid,Sedan,27270.0
2021,Toyota,C-HR,SUV,21595.0
2021,Toyota,Corolla,Sedan,20025.0
2021,Toyota,Corolla Hatchback,Hatchback,20715.0
2021,Toyota,Corolla Hybrid,Sedan,23600.0
2021,Toyota,GR Supra,Coupe,43090.0
2021,Toyota,Highlander,SUV,35085.0
2021,Toyota,Highlander Hybrid,SUV,38735.0
2021,Toyota,Prius,Hatchback,24525.0
2021,Toyota,Prius Prime,Hatchback,28220.0
2021,Toyota,RAV4,SUV,26250.0
2021,Toyota,RAV4 Hybrid,SUV,28500.0
2021,Toyota,RAV4 Prime,SUV,38250.0
2021,Toyota,Sequoia,SUV,50400.0
2021,Toyota,Sienna,Van/Minivan,34460.0
2021,Toyota,Tacoma Access Cab,Pickup,26400.0
2021,Toyota,Tacoma Double Cab,Pickup,27230.0
2021,Toyota,Tundra CrewMax,Pickup,38320.0
2021,Toyota,Tundra Double Cab,Pickup,34025.0
2021,Toyota,Venza,SUV,32570.0
2021,Volkswagen,Atlas,SUV,31545.0
2021,Volkswagen,Atlas Cross Sport,SUV,30855.0
2021,Volkswagen,Jetta,Sedan,18995.0
2021,Volkswagen,Golf,Hatchback,23195.0
2021,Volkswagen,Passat,Sedan,23995.0
2021,Volvo,S90,Sedan,60050.0
2021,Volvo,V90,Wagon,51800.0
2021,Volvo,V60,Wagon,40950.0
2021,Volkswagen,Tiguan,SUV,25245.0
2021,Volvo,XC40,SUV,33700.0
2021,Volvo,XC60,SUV,41700.0
2021,Volvo,XC90,SUV,49000.0
