EmpID,BusinessUnit,Education,FieldOfStudy,Gender,Age,ProximityToHome,Travel,JobGrade,JobRole,MaritalStatus,MonthlyPay,PreviousEmployers,SalaryIncrement,PerformanceRating,WorkingExperience,TrainingAttended,WorkLifeBalance,WithCompany,CurrentRole,LastPromoted,CurrentManager,SatisfactionCompany,SatisfactionRole,SatisfactionCoworkers,LeftCompany
1037,Business Development,2,Engineering,Male,34,8,Rare,2,Account Manager,Married,6799,1,14,4,10,5,3,10,8,4,8,2,3,3,No
1038,Product Development,1,Business Tech,Male,22,19,Rare,1,Product Research ,Married,2323,1,15,4,2,6,3,2,2,2,2,3,4,1,No
1039,Business Development,1,Engineering,Male,23,2,Rare,1,Account Executive,Divorced,2322,3,6,3,3,3,3,0,0,0,0,3,1,3,No
1040,Product Development,2,Business Tech,Female,37,25,Rare,2,Product Executive,Divorced,5731,7,6,3,9,2,3,6,2,1,3,3,4,3,No
1041,Product Development,4,Business Tech,Female,54,7,Rare,2,Product Research ,Married,6854,4,8,3,14,2,2,7,1,1,7,4,4,2,No
1042,Product Development,1,Business Tech,Male,20,8,None,1,Technical Support,Single,1904,0,5,3,0,0,3,0,0,0,0,3,3,4,Yes
1043,Product Development,2,Business Tech,Male,23,8,Rare,1,Technical Support,Single,3989,1,4,3,5,2,3,5,4,1,2,4,3,1,Yes
1044,Product Development,3,Sciences,Female,41,22,Regular,2,Product Research ,Divorced,5467,3,7,3,12,4,2,6,2,3,3,4,4,1,No
1045,Business Development,4,Sciences,Female,36,2,Rare,2,Account Executive,Single,4502,3,8,3,17,2,2,13,7,6,7,3,4,3,No
1046,HR,3,HR,Female,54,26,None,4,Section Manager,Single,17328,2,5,3,23,3,3,5,3,4,4,4,4,3,No
1047,Business Development,3,Sciences,Male,37,3,Rare,3,Account Manager,Single,7428,2,5,3,12,3,3,5,3,1,3,3,4,1,No
1048,Product Development,4,Sciences,Male,32,6,Rare,1,Product Research ,Single,3038,3,13,4,8,2,3,5,4,1,4,3,3,1,No
1049,Business Development,3,Engineering,Male,39,5,Rare,2,Account Executive,Married,2086,3,7,3,19,6,4,1,0,0,0,4,4,3,Yes
1050,Product Development,2,Other,Female,21,18,Rare,1,Product Research ,Single,2693,1,12,3,1,3,2,1,0,0,0,4,4,1,Yes
1051,Business Development,3,Marketing,Female,45,2,Rare,5,Section Manager,Single,18824,2,9,3,26,2,3,24,10,1,11,1,2,1,Yes
1052,Product Development,2,Other,Male,35,25,Rare,2,Technical Support,Single,3681,4,7,3,9,3,3,3,2,0,2,1,4,4,No
1053,Product Development,2,Engineering,Female,41,7,Rare,1,Product Research ,Married,3376,1,6,3,10,3,3,10,6,0,8,2,3,3,No
1054,Product Development,4,Sciences,Female,36,5,Rare,1,Product Research ,Married,3419,9,7,3,6,3,4,1,1,0,0,2,1,4,No
1055,Business Development,4,Sciences,Female,35,28,Rare,1,Account Executive,Married,2430,0,15,4,6,5,3,5,3,4,2,2,3,1,No
1056,Business Development,4,Marketing,Female,49,11,Rare,2,Account Manager,Single,4507,3,5,3,8,1,4,5,1,0,4,4,4,3,No
1057,Business Development,3,Marketing,Male,30,10,Rare,2,Account Manager,Married,6578,1,11,3,10,3,3,10,3,1,4,3,3,1,No
1058,Business Development,3,Marketing,Male,27,9,Rare,2,Account Manager,Single,4105,1,7,3,7,5,3,7,7,0,7,4,4,1,No
1059,HR,4,Engineering,Female,34,9,Rare,1,HR,Married,2742,1,8,3,2,0,3,2,2,2,2,1,3,4,Yes
1060,Product Development,2,Sciences,Female,42,17,Rare,2,Product Research ,Single,6545,3,6,3,10,1,3,3,2,0,2,4,1,3,No
1061,Product Development,2,Sciences,Male,48,1,Rare,3,Technical Support,Single,5381,9,6,3,23,2,3,1,0,0,0,1,3,4,Yes
1062,Product Development,3,Business Tech,Male,33,25,Rare,1,Product Research ,Single,2313,4,13,4,5,0,3,2,2,2,2,1,2,2,Yes
1063,Product Development,2,Business Tech,Female,33,15,Rare,2,Product Executive,Married,4878,0,6,3,10,6,3,9,7,8,1,2,4,1,No
1064,Product Development,1,Sciences,Male,28,29,Rare,2,Manufacturing Head,Married,6549,1,7,3,8,2,2,8,6,1,7,3,2,2,No
1065,Product Development,3,Business Tech,Female,43,6,Rare,2,Product Research ,Single,4081,1,7,3,20,3,1,20,7,1,8,1,3,1,No
1066,Business Development,3,Engineering,Female,29,20,Regular,1,Account Executive,Married,2157,1,8,3,3,5,3,3,1,0,2,3,4,2,No
1067,Product Development,2,Sciences,Female,54,9,Rare,2,Product Research ,Married,2897,3,4,3,9,6,2,4,3,2,3,1,3,3,No
1068,Product Development,1,Sciences,Female,39,1,Rare,4,Manufacturing Head,Married,12742,1,9,3,21,3,3,21,6,11,8,4,4,3,No
1069,Business Development,4,Marketing,Female,44,1,Rare,2,Account Manager,Divorced,5454,5,14,4,9,2,2,4,3,1,3,2,1,3,No
1070,Product Development,4,Engineering,Male,42,10,None,1,Product Research ,Married,2936,3,15,4,10,1,2,6,3,3,3,3,3,2,No
1071,Product Development,1,Sciences,Female,38,1,Rare,1,Product Research ,Single,2619,3,10,3,8,3,2,0,0,0,0,3,1,4,No
1072,Product Development,2,Sciences,Male,37,2,None,2,Product Executive,Divorced,5163,5,7,3,17,2,4,1,0,0,0,3,4,4,No
1073,Business Development,4,Sciences,Male,37,1,Rare,3,Account Manager,Married,10609,5,4,3,17,2,1,14,1,11,7,1,3,3,Yes
1074,Product Development,3,Engineering,Male,58,2,Rare,1,Product Research ,Single,2479,4,15,4,7,4,3,1,0,0,0,4,3,1,Yes
1075,Product Development,2,Engineering,Male,25,4,Rare,1,Technical Support,Married,3691,1,8,3,7,3,4,7,7,5,6,4,4,2,Yes
1076,Product Development,3,Sciences,Female,35,9,Rare,3,Manufacturing Head,Married,10685,1,13,4,17,2,3,17,14,5,15,4,3,2,No
1077,Product Development,1,Business Tech,Male,23,10,Rare,1,Product Research ,Single,3505,1,11,3,2,3,3,2,2,0,2,1,3,4,No
1078,Product Development,2,Other,Male,24,17,Rare,1,Technical Support,Married,2127,1,14,4,1,2,3,1,0,0,0,4,2,4,No
1079,Business Development,4,Marketing,Male,42,8,Rare,2,Account Manager,Married,6825,0,4,3,10,2,3,9,7,4,2,3,2,4,No
1080,Product Development,1,Sciences,Male,34,2,Regular,2,Manufacturing Head,Married,9547,1,10,3,10,2,2,10,9,1,9,4,3,3,No
1081,Business Development,4,Business Tech,Male,36,3,Rare,3,Account Manager,Married,9699,4,4,3,16,2,3,13,9,1,12,1,4,1,No
1082,Product Development,4,Business Tech,Male,36,2,Rare,1,Technical Support,Single,2519,4,14,4,16,6,3,11,8,3,9,3,3,3,No
1083,Product Development,2,Sciences,Male,52,1,Rare,4,Section Manager,Married,17099,2,8,3,26,2,2,9,8,7,8,4,4,2,No
1084,Business Development,3,Sciences,Male,26,1,Rare,2,Account Manager,Married,5296,1,10,3,8,3,3,8,7,7,7,3,3,2,No
1085,Business Development,3,Sciences,Male,41,3,Rare,2,Account Manager,Divorced,8938,2,3,2,14,5,3,5,4,0,4,3,2,3,No
1086,Business Development,3,Business Tech,Female,20,2,Rare,1,Account Executive,Single,2783,1,12,3,2,3,3,2,2,2,2,3,3,1,No
1087,Product Development,4,Business Tech,Female,58,7,Rare,3,Manufacturing Head,Married,10008,7,7,3,31,0,2,10,9,5,9,3,1,4,Yes
1088,Business Development,3,Sciences,Male,34,4,Rare,3,Account Manager,Married,9713,2,6,3,9,3,3,5,3,1,0,3,4,4,No
1089,Product Development,3,Business Tech,Female,31,10,None,3,Product Head,Married,11031,4,13,4,13,2,4,11,7,4,8,3,3,3,No
1090,Product Development,3,Business Tech,Male,50,2,Rare,4,Product Head,Married,17639,5,9,3,30,3,3,4,3,0,3,3,3,4,No
1091,Business Development,4,Sciences,Male,35,18,Regular,3,Account Manager,Married,9069,1,15,4,9,3,2,9,8,1,8,2,1,4,No
1092,Product Development,4,Sciences,Male,36,18,Regular,1,Technical Support,Married,3688,4,11,3,4,2,3,1,0,0,0,3,4,4,No
1093,Product Development,4,Business Tech,Male,52,19,None,1,Product Research ,Married,4258,0,11,3,5,3,3,4,3,1,2,4,4,1,No
1094,HR,4,HR,Male,38,10,Regular,2,HR,Married,6077,3,4,3,10,2,3,6,3,1,2,3,3,3,No
1095,Product Development,2,Engineering,Male,52,6,Rare,2,Product Research ,Divorced,5577,3,5,3,18,3,3,10,9,6,9,4,1,2,No
1096,Product Development,4,Business Tech,Male,34,7,Rare,1,Product Research ,Single,2972,1,6,3,1,4,1,1,0,0,0,1,4,3,No
1097,Product Development,2,Business Tech,Male,28,2,Regular,1,Technical Support,Single,2561,7,4,3,8,2,2,0,0,0,0,3,1,3,Yes
1098,Business Development,4,Marketing,Female,43,4,Rare,3,Account Manager,Single,10231,3,7,3,23,3,4,21,7,15,17,4,4,4,No
1099,Product Development,2,Other,Female,29,14,Regular,3,Product Executive,Single,7553,0,5,3,9,1,3,8,7,7,7,3,4,1,Yes
1100,Business Development,2,Sciences,Female,34,8,Rare,2,Account Manager,Married,6500,5,10,3,6,1,3,3,2,1,2,3,1,2,No
1101,Business Development,2,Marketing,Male,27,2,Rare,1,Account Executive,Divorced,3041,0,3,2,5,3,3,4,3,0,2,3,1,2,Yes
1102,Business Development,4,Sciences,Male,31,7,Rare,1,Account Executive,Married,2329,3,8,3,13,2,4,7,7,5,2,2,3,2,No
1103,Product Development,3,Sciences,Female,37,10,Rare,3,Product Head,Married,13744,1,20,5,16,2,3,16,11,6,8,3,4,1,No
1104,Product Development,3,Sciences,Male,34,7,Regular,2,Technical Support,Single,6074,1,15,4,9,3,3,9,7,0,6,1,3,4,Yes
1105,Product Development,4,Sciences,Female,54,8,Rare,2,Technical Support,Single,3780,7,4,3,19,3,3,1,0,0,0,3,3,3,No
1106,Product Development,3,Business Tech,Female,40,26,Rare,2,Product Research ,Divorced,5605,1,3,2,20,2,3,20,7,2,13,2,2,1,No
1107,Product Development,2,Sciences,Male,31,1,Rare,1,Technical Support,Married,2218,1,5,3,4,3,3,4,2,3,2,4,1,3,No
1108,Business Development,3,Business Tech,Male,43,25,Rare,3,Account Manager,Divorced,10798,5,6,3,18,5,3,1,0,0,0,3,4,3,No
1109,Business Development,2,Business Tech,Male,40,9,Rare,2,Account Manager,Married,5473,0,5,3,9,5,4,8,4,7,1,1,1,4,No
1110,Product Development,4,Business Tech,Female,32,29,None,1,Technical Support,Single,4025,9,5,3,10,2,3,8,7,7,7,4,3,2,No
1111,Business Development,4,Engineering,Male,49,8,Rare,4,Account Manager,Married,13120,6,10,3,22,3,3,9,8,2,3,4,2,2,No
1112,Product Development,2,Business Tech,Female,37,1,Rare,1,Product Research ,Married,3920,2,7,3,17,2,2,3,1,0,2,3,1,1,No
1113,Business Development,3,Marketing,Male,20,5,Regular,1,Account Executive,Single,1878,1,7,3,0,3,3,0,0,0,0,2,2,4,Yes
1114,Product Development,2,Sciences,Female,30,8,Rare,3,Product Head,Married,11416,0,5,3,9,4,2,8,7,1,7,2,1,3,No
1115,Business Development,4,Marketing,Male,32,2,Rare,2,Account Manager,Single,9907,7,5,3,7,3,2,2,2,2,2,3,2,3,Yes
1116,Product Development,3,Business Tech,Female,28,1,Rare,1,Product Research ,Married,3591,1,20,5,3,3,3,3,2,1,2,3,1,3,No
1117,Product Development,3,Business Tech,Female,38,8,Regular,2,Product Research ,Divorced,2133,1,9,3,20,3,3,20,11,0,7,4,2,3,No
1118,Product Development,4,Sciences,Male,40,1,Rare,4,Product Executive,Married,13503,1,15,4,22,3,2,22,3,11,11,3,2,4,No
1119,Business Development,1,Marketing,Male,27,8,Regular,2,Account Manager,Married,4342,0,12,3,5,3,3,4,2,1,1,3,4,2,No
1120,Product Development,3,Sciences,Male,56,7,Rare,3,Manufacturing Head,Single,7260,4,4,3,37,3,2,6,4,0,2,4,4,1,No
1121,Product Development,3,Engineering,Male,25,1,Rare,1,Technical Support,Married,3229,4,4,3,7,2,2,3,2,0,2,1,4,2,No
1122,Product Development,2,Other,Female,45,2,Rare,2,Manufacturing Head,Divorced,5770,1,12,3,10,3,3,10,7,3,9,4,4,1,No
1123,Product Development,2,Sciences,Female,26,1,Rare,1,Product Research ,Married,2933,1,6,3,1,3,2,1,0,1,0,2,3,3,No
1124,Product Development,4,Other,Female,41,2,None,2,Product Executive,Single,6811,2,10,3,10,3,3,8,7,0,7,1,3,1,No
1125,Business Development,3,Sciences,Male,35,27,Rare,2,Account Manager,Single,5813,1,11,3,10,2,3,10,7,7,7,3,4,4,Yes
1126,Business Development,2,Sciences,Male,29,2,Regular,2,Account Manager,Single,4554,1,11,3,10,3,2,10,7,0,9,2,4,1,No
1127,Product Development,4,Other,Male,45,6,Rare,3,Product Head,Married,13245,4,7,3,17,3,4,0,0,0,0,4,1,2,No
1128,Product Development,2,Business Tech,Male,22,16,None,1,Technical Support,Divorced,2935,1,6,3,1,2,2,1,0,0,0,4,4,2,No
1129,Product Development,4,Business Tech,Male,28,19,Rare,1,Technical Support,Married,3196,1,5,3,6,2,3,6,5,3,3,4,1,3,No
1130,Product Development,2,Business Tech,Male,39,3,Rare,2,Technical Support,Divorced,3069,0,8,3,11,3,3,10,8,0,7,3,3,4,No
1131,Business Development,4,Marketing,Female,33,9,Rare,2,Account Manager,Single,8224,0,10,3,6,3,3,5,2,0,3,1,1,1,Yes
1132,Product Development,4,Engineering,Female,36,10,Rare,3,Product Executive,Married,7094,3,5,3,10,0,3,7,7,1,7,4,3,1,No
1133,Product Development,2,Business Tech,Female,41,7,Rare,2,Manufacturing Head,Single,5003,6,7,3,8,6,3,2,2,2,1,4,3,2,No
1134,Business Development,3,Marketing,Male,57,29,Rare,4,Section Manager,Divorced,14118,3,5,3,32,3,2,1,0,0,0,1,4,3,No
1135,Product Development,2,Sciences,Female,29,15,Rare,2,Technical Support,Single,4193,0,5,3,10,3,3,9,5,0,8,4,3,4,No
1136,Product Development,4,Sciences,Female,48,1,Rare,4,Section Manager,Married,15402,7,4,3,21,3,1,3,2,0,2,4,1,1,No
1137,HR,1,Business Tech,Male,29,6,Rare,1,HR,Married,2804,1,4,3,1,3,3,1,0,0,0,4,2,4,No
1138,Product Development,1,Sciences,Male,29,29,Rare,2,Product Executive,Divorced,6384,8,10,3,11,3,3,7,0,1,6,4,3,4,No
1139,Business Development,3,Sciences,Female,46,10,Rare,3,Account Manager,Married,7314,5,14,4,14,2,3,8,7,0,7,3,2,3,Yes
1140,Product Development,4,Other,Male,34,22,Rare,2,Product Research ,Married,5747,1,8,3,16,3,3,15,10,6,11,3,4,2,No
1141,Product Development,3,Business Tech,Male,42,6,Rare,3,Product Head,Married,13348,9,6,3,18,3,4,13,7,5,7,3,1,2,No
1142,Product Development,2,Business Tech,Male,20,10,Rare,1,Technical Support,Single,899,1,15,3,1,5,3,1,0,1,1,4,3,4,Yes
1143,Product Development,3,Business Tech,Female,58,9,Rare,1,Product Research ,Married,3346,4,13,4,9,3,2,1,0,0,0,2,2,2,No
1144,Product Development,2,Sciences,Female,28,8,Rare,1,Product Research ,Single,3310,1,14,4,5,3,3,5,3,0,2,4,4,4,No
1145,Business Development,4,Sciences,Female,38,1,Rare,2,Account Manager,Single,8686,4,15,4,12,2,4,8,3,0,7,1,4,3,No
1146,Product Development,3,Business Tech,Male,35,1,Rare,1,Technical Support,Single,2450,1,12,3,3,3,3,3,0,1,2,4,1,2,No
1147,Product Development,1,Business Tech,Male,29,3,Rare,1,Technical Support,Single,4723,1,11,3,10,3,3,10,9,1,5,2,1,4,No
1148,Business Development,3,Marketing,Male,23,9,Regular,1,Account Executive,Single,1790,1,12,3,1,3,2,1,0,1,0,4,1,1,Yes
1149,Product Development,2,Business Tech,Female,53,7,Rare,5,Section Manager,Divorced,18606,3,11,3,26,6,3,7,7,4,7,4,3,2,No
1150,Product Development,4,Sciences,Male,52,1,Rare,5,Section Manager,Married,25999,0,7,3,34,5,3,33,18,11,9,3,3,1,No
1151,Business Development,4,Marketing,Male,33,8,Rare,2,Account Manager,Divorced,7104,0,5,3,6,3,3,5,0,1,2,3,3,4,No
1152,Business Development,1,Sciences,Male,30,16,Rare,2,Account Manager,Married,5301,8,8,3,4,2,2,2,1,2,2,4,3,3,No
1153,Business Development,3,Sciences,Male,29,10,Rare,1,Account Executive,Single,2642,1,4,3,1,6,3,1,0,0,0,3,3,3,No
1154,Product Development,3,Business Tech,Male,33,7,Rare,3,Product Head,Married,11691,0,4,3,14,3,4,13,9,3,7,3,3,4,No
1155,HR,4,HR,Male,31,18,Rare,1,HR,Married,2956,0,10,3,2,4,3,1,0,0,0,4,1,3,Yes
1156,Product Development,1,Sciences,Female,41,7,None,5,Product Head,Divorced,25979,1,15,4,21,3,3,21,16,5,10,2,3,2,No
1157,Product Development,4,Engineering,Female,54,2,Rare,3,Product Head,Married,13549,9,5,3,16,5,1,4,3,0,3,1,3,1,No
1158,Product Development,2,Business Tech,Female,52,28,Regular,4,Manufacturing Head,Married,13247,2,4,3,24,3,2,5,3,0,2,4,3,2,No
1159,Product Development,3,Business Tech,Female,51,3,Rare,4,Product Executive,Single,13734,3,11,3,21,6,3,7,7,1,0,4,2,3,No
1160,Product Development,3,Business Tech,Male,31,5,None,2,Manufacturing Head,Single,9936,0,12,3,10,2,3,9,4,1,7,2,1,2,No
1161,Product Development,4,Business Tech,Female,45,5,Rare,2,Technical Support,Single,5769,1,7,3,10,3,3,10,7,1,4,3,1,1,No
1162,Product Development,3,Sciences,Female,26,1,Regular,2,Manufacturing Head,Divorced,6397,1,13,4,6,6,1,6,5,1,4,3,2,1,No
1163,Product Development,1,Business Tech,Male,22,6,Rare,1,Product Research ,Married,2773,0,13,4,3,3,3,2,2,2,2,1,3,4,No
1164,Product Development,4,Other,Male,36,7,Rare,1,Product Research ,Single,4678,2,11,3,8,6,3,6,2,0,1,2,4,3,No
1165,Product Development,3,Business Tech,Female,27,8,Rare,1,Product Research ,Married,3517,7,10,3,5,0,3,3,2,0,2,2,3,1,No
1166,Business Development,3,Sciences,Male,31,20,Regular,1,Account Executive,Married,2791,0,5,3,3,4,3,2,2,2,2,3,4,1,No
1167,Business Development,4,Sciences,Male,36,2,Rare,1,Account Executive,Single,2644,3,14,4,7,3,2,3,2,1,2,3,4,4,No
1168,Product Development,3,Engineering,Male,30,4,Regular,1,Product Research ,Single,2285,9,15,4,3,4,3,1,0,0,0,3,4,3,Yes
1169,Business Development,1,Sciences,Male,25,18,Rare,2,Account Manager,Married,6232,2,4,3,6,3,2,3,2,1,2,1,3,2,No
1170,Business Development,4,Other,Female,30,22,None,3,Account Manager,Married,8412,0,4,3,10,3,3,9,8,7,8,3,1,3,No
1171,Product Development,1,Sciences,Female,37,10,Rare,1,Product Research ,Divorced,2782,0,6,3,6,3,2,5,3,4,3,4,1,2,No
1172,Product Development,1,Engineering,Female,21,1,Rare,1,Product Research ,Single,2070,1,4,3,2,6,4,2,2,2,2,4,2,3,No
1173,Business Development,2,Marketing,Female,34,6,Regular,1,Account Executive,Divorced,2351,0,9,3,3,3,2,2,2,1,0,4,3,4,Yes
1174,Product Development,3,Business Tech,Female,18,14,None,1,Product Research ,Single,1514,1,9,3,0,4,1,0,0,0,0,2,3,3,No
1175,Product Development,3,Sciences,Male,45,9,Rare,2,Technical Support,Divorced,2348,8,11,3,20,2,1,17,9,0,15,2,2,3,No
1176,Product Development,4,Business Tech,Male,48,1,None,4,Section Manager,Single,16885,2,15,4,27,3,2,5,4,2,1,1,4,3,No
1177,Product Development,4,Sciences,Female,27,17,Rare,1,Product Research ,Single,2394,1,6,3,8,2,3,8,2,7,7,4,3,4,Yes
1178,Business Development,4,Sciences,Female,45,9,Rare,2,Account Manager,Married,5593,1,6,3,15,2,3,15,10,4,12,2,3,4,No
1179,Product Development,3,Engineering,Male,36,3,Regular,1,Product Research ,Married,3692,1,5,3,12,2,2,11,10,0,7,3,2,3,No
1180,Business Development,3,Business Tech,Female,18,10,Rare,1,Account Executive,Single,1200,1,15,3,0,2,3,0,0,0,0,4,3,1,No
1181,Product Development,4,Engineering,Male,34,16,None,1,Product Research ,Married,2307,1,15,4,5,2,3,5,2,3,0,4,1,2,Yes
1182,Product Development,4,Sciences,Male,47,29,None,3,Section Manager,Married,11849,1,5,3,10,2,2,10,7,9,9,1,2,4,Yes
1183,Product Development,2,Sciences,Male,39,25,None,3,Product Executive,Married,10920,3,14,4,13,2,3,6,4,0,5,3,3,2,No
1184,Product Development,3,Business Tech,Female,27,7,Rare,2,Product Executive,Single,6811,8,12,3,9,2,1,7,6,0,7,4,1,1,No
1185,Business Development,3,Sciences,Male,47,9,Regular,4,Account Manager,Married,12936,7,4,3,25,3,1,23,5,14,10,3,3,3,Yes
1186,Product Development,3,Sciences,Female,28,1,None,2,Technical Support,Married,6674,0,4,3,10,6,3,9,8,7,5,3,4,1,No
1187,Business Development,4,Sciences,Male,50,1,Regular,2,Account Manager,Divorced,6728,7,5,3,12,3,3,6,3,0,1,2,3,4,Yes
1188,Product Development,1,Sciences,Male,42,2,None,4,Section Manager,Married,17861,0,6,3,21,3,2,20,8,2,10,3,3,4,No
1189,Product Development,3,Business Tech,Male,40,2,Rare,1,Product Research ,Divorced,2345,2,7,3,8,3,4,3,1,1,2,3,3,3,No
1190,Product Development,2,Sciences,Male,58,2,Regular,1,Technical Support,Divorced,2380,9,7,3,3,3,2,1,0,0,0,4,4,4,Yes
1191,Product Development,4,Engineering,Male,34,10,Regular,2,Product Executive,Married,5063,1,7,3,8,3,2,8,2,7,7,4,3,2,No
1192,Product Development,2,Business Tech,Male,28,16,Rare,2,Product Executive,Single,5661,0,12,3,9,2,3,8,3,0,7,2,1,3,No
1193,Product Development,3,Sciences,Female,56,8,Rare,1,Product Research ,Divorced,4257,4,11,3,19,3,3,2,2,2,2,3,1,3,No
1194,Product Development,3,Business Tech,Male,34,8,Rare,2,Technical Support,Married,4404,2,5,3,6,3,4,4,3,1,2,2,3,1,No
1195,Product Development,4,Business Tech,Male,55,1,Rare,4,Product Head,Divorced,14732,2,6,3,31,4,4,7,7,0,0,2,4,4,No
1196,Product Development,4,Sciences,Male,34,1,Rare,1,Product Research ,Married,2691,1,5,3,10,4,2,10,9,8,8,2,4,4,No
1197,Product Development,4,Engineering,Female,38,3,Rare,2,Product Research ,Single,4317,3,13,4,19,2,3,3,2,2,2,4,3,2,No
