blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueEliteMonsters,blueHeralds,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueWins
14,0,0,7,9,0,0,17408,209,50,0
18,0,0,6,8,0,0,18284,213,49,1
37,2,1,5,3,0,0,19634,248,54,1
14,4,0,3,3,1,0,19210,246,56,0
16,2,0,4,10,1,1,17696,224,53,0
17,0,1,5,7,1,0,16746,181,63,0
19,3,1,10,6,1,0,18131,213,42,1
29,3,1,7,5,2,1,18407,222,55,1
12,0,0,10,7,0,0,19575,236,58,0
18,4,0,2,7,0,0,16437,191,62,0
24,3,0,6,7,0,0,17667,208,70,0
18,2,1,6,4,1,0,19610,229,54,1
122,3,1,9,1,2,1,19659,229,68,1
12,4,0,4,10,1,0,15959,203,41,0
52,2,0,6,12,0,0,16280,188,42,0
32,4,1,7,8,1,0,16814,212,46,0
19,5,1,4,5,0,0,17145,198,53,0
36,0,1,5,4,0,0,17591,200,32,1
13,3,1,2,7,1,0,16629,204,38,0
15,3,1,6,4,1,0,19110,242,52,1
50,4,1,6,4,2,1,17200,200,52,1
14,2,0,4,6,0,0,18337,221,52,0
17,2,1,8,4,1,1,17242,212,40,1
18,1,0,13,9,1,0,18951,232,44,1
17,5,0,7,6,0,0,18342,242,46,0
43,6,1,11,4,1,1,20326,256,43,0
12,1,0,6,6,1,0,16617,204,56,0
20,2,0,7,8,1,1,17111,199,51,0
18,3,0,9,8,1,0,18162,235,41,1
16,0,0,10,10,1,0,18159,208,55,1
14,2,0,7,2,2,1,19864,261,68,1
12,6,0,1,6,0,0,17769,241,56,0
16,4,0,5,8,1,0,17113,201,48,1
15,0,0,10,4,0,0,19565,232,64,1
83,13,1,7,11,0,0,15827,194,25,0
17,4,1,3,5,0,0,18590,236,73,0
16,3,1,9,2,0,0,19137,223,51,1
14,4,1,7,7,0,0,18820,257,62,1
14,2,0,7,7,1,0,19060,209,48,0
17,1,0,5,10,0,0,18383,213,59,0
16,6,1,5,4,0,0,17645,247,37,1
40,1,0,6,8,1,1,19837,250,70,1
16,1,0,5,8,1,1,17243,227,28,0
16,4,1,6,8,1,0,17401,224,53,0
14,3,0,4,6,0,0,17323,209,43,0
13,5,0,6,7,0,0,16787,199,52,0
24,0,0,8,11,0,0,17831,222,44,0
12,5,0,6,4,1,0,18370,248,44,0
17,3,0,6,14,0,0,16995,200,46,1
19,3,0,3,5,0,0,19080,233,59,0
12,3,1,9,5,0,0,18904,221,36,1
19,2,1,2,7,1,0,17812,231,64,1
18,1,0,12,9,0,0,15938,143,48,1
17,1,1,9,17,0,0,14815,187,29,0
16,2,1,7,9,2,1,18034,228,48,0
14,1,1,6,4,1,0,17737,224,39,1
30,6,1,5,5,1,1,17544,217,67,0
18,5,0,8,8,1,0,18192,229,43,0
14,16,0,3,9,0,0,16806,213,40,0
13,6,1,10,7,0,0,19562,207,44,1
16,4,0,3,10,0,0,16550,193,40,0
38,3,1,9,7,1,0,17810,205,40,1
40,1,0,7,14,1,0,16174,183,37,1
18,5,0,5,3,1,0,18920,240,61,1
40,3,0,6,7,0,0,17297,212,52,0
18,5,0,7,5,0,0,17603,215,52,1
17,5,0,7,1,0,0,18669,226,36,1
15,5,1,6,3,1,0,17937,241,36,1
18,2,1,4,4,0,0,18295,215,48,1
43,6,1,4,7,1,0,16820,226,33,1
13,5,0,5,7,0,0,16908,191,48,0
13,1,0,6,9,1,0,17537,228,55,1
20,1,1,9,7,1,0,16779,199,37,1
15,1,1,12,4,1,1,19205,227,37,1
17,1,0,5,5,0,0,19105,223,64,1
28,4,0,3,4,1,0,15898,211,55,0
87,1,0,4,15,0,0,15031,183,30,0
15,3,1,7,6,0,0,19761,251,64,1
18,1,1,12,4,0,0,19257,206,60,1
16,3,0,4,11,1,1,16360,232,40,1
17,3,1,13,9,0,0,17935,207,31,1
15,2,1,3,1,1,0,17194,224,56,0
70,2,0,8,6,2,1,18227,178,56,0
18,1,0,6,7,1,1,17632,230,47,0
10,1,0,6,14,0,0,16953,198,59,0
91,3,0,10,5,0,0,18463,213,50,1
18,2,1,3,10,0,0,15128,200,48,0
16,4,0,6,6,0,0,18567,205,56,1
18,11,1,7,6,0,0,16741,207,46,1
16,2,1,9,5,1,0,18905,225,60,1
13,1,1,8,3,2,1,19519,235,59,1
35,1,0,5,9,0,0,16532,196,40,0
10,1,1,7,7,0,0,17576,215,42,0
19,5,1,6,7,0,0,17054,225,46,0
22,6,1,7,3,1,0,19579,253,64,1
19,2,1,4,6,0,0,15883,188,53,0
14,5,0,5,4,1,1,17717,188,63,1
15,2,1,5,5,0,0,17911,213,47,0
38,2,1,5,5,1,0,17320,229,39,1
16,3,0,6,11,1,0,17257,200,43,0
17,4,0,6,6,0,0,18646,240,56,1
18,2,1,9,5,0,0,19379,230,51,1
14,3,1,5,4,1,0,19262,238,64,1
17,0,0,4,8,1,1,18304,222,68,1
12,4,0,5,6,1,1,19002,211,71,0
86,4,1,3,5,0,0,17158,186,62,0
16,1,1,8,2,1,0,18318,229,40,1
15,6,0,10,2,0,0,19691,218,70,1
16,4,0,1,5,0,0,15085,187,48,0
17,7,0,6,6,0,0,18466,269,40,0
16,3,0,9,7,2,1,18001,178,60,1
15,3,1,4,3,1,1,19181,263,53,0
14,1,1,4,12,0,0,16369,198,46,0
25,1,1,6,6,1,0,18269,240,43,0
11,1,0,1,5,0,0,16678,223,34,0
25,5,1,14,3,0,0,20330,212,54,1
17,4,0,6,11,1,0,16916,191,39,0
17,4,1,6,6,1,1,17392,210,54,1
14,4,0,4,7,0,0,18778,268,52,0
18,1,1,10,5,1,0,19476,242,48,1
17,5,0,6,8,0,0,16524,222,36,0
42,4,1,8,5,1,0,20099,229,59,1
17,7,0,11,8,0,0,16703,174,38,0
15,2,0,4,4,1,1,19310,252,57,1
12,3,0,1,5,1,0,18364,231,65,0
14,2,0,8,7,0,0,19396,234,49,0
13,2,0,5,14,1,0,16713,167,48,0
13,3,0,4,6,0,0,16302,221,43,0
68,0,0,1,14,1,0,14164,174,53,0
20,1,0,4,9,0,0,17281,212,56,1
16,3,0,5,5,1,0,17550,201,52,1
16,3,0,12,9,0,0,16668,186,48,1
35,3,1,6,2,1,0,18428,221,44,1
14,2,0,3,8,0,0,17721,227,61,0
35,2,0,5,5,0,0,19145,244,60,1
18,3,1,14,5,1,0,18459,230,48,1
22,4,0,5,7,1,1,18145,198,59,0
124,3,1,5,4,1,1,18154,225,51,0
18,1,1,3,7,0,0,17137,231,50,1
13,3,1,11,4,2,1,20008,233,44,1
24,1,1,8,4,0,0,18315,242,48,1
50,12,1,6,3,1,0,17693,213,48,0
16,3,0,10,5,1,0,18402,213,52,0
33,1,0,2,5,0,0,17703,230,56,0
13,3,0,12,4,0,0,19387,255,50,1
78,4,1,9,3,0,0,18340,230,52,1
16,2,0,5,6,1,0,18443,221,58,0
22,2,1,9,6,0,0,17101,212,40,0
15,5,0,5,5,1,1,16956,241,48,0
19,2,1,9,3,0,0,17241,202,41,0
40,4,0,1,7,0,0,16451,200,48,0
13,1,0,1,3,0,0,18342,227,47,0
15,2,0,8,7,1,0,16417,204,49,1
31,2,1,6,4,0,0,18984,235,59,1
44,2,0,5,7,1,0,18408,217,64,0
27,2,0,10,12,1,0,16235,184,36,0
54,4,0,6,1,2,1,18897,224,51,1
13,3,0,9,5,2,1,20263,223,70,1
17,3,0,1,6,0,0,16666,218,44,0
14,2,0,5,6,1,0,19984,233,76,1
12,2,1,7,6,1,0,18864,246,44,1
14,1,1,7,7,0,0,18557,209,44,0
24,3,1,14,4,0,0,21242,249,67,1
14,1,1,6,4,1,0,18641,228,47,1
36,2,1,4,11,1,0,18362,197,56,0
40,7,0,8,9,1,1,18900,214,45,1
17,3,0,5,7,1,0,17578,234,56,1
27,5,1,10,6,1,1,18818,222,52,1
18,5,0,14,4,1,0,20064,220,56,1
13,0,1,9,4,0,0,19191,220,54,1
15,2,0,3,8,0,0,15990,194,42,1
19,2,0,4,7,0,0,17535,210,55,0
12,0,0,3,5,1,1,19121,270,52,0
16,1,0,7,3,1,0,18991,238,43,1
57,3,0,11,9,0,0,18622,225,56,1
18,4,0,11,6,2,1,20488,236,57,1
18,5,0,11,7,0,0,18395,217,37,1
22,3,0,4,12,1,0,16422,190,51,0
18,1,1,4,1,1,1,17831,227,46,0
15,2,0,3,9,0,0,16448,217,41,0
16,3,0,4,9,1,1,15677,173,49,0
18,3,1,6,10,0,0,17069,201,48,1
39,3,1,6,2,1,0,19120,238,44,1
21,2,0,3,5,2,1,18511,268,55,1
14,4,0,5,10,0,0,16437,196,36,0
37,6,1,10,4,0,0,19319,218,48,1
16,1,1,11,5,1,0,19229,223,40,1
15,4,1,4,8,0,0,17696,209,42,0
18,2,1,6,3,1,0,19346,245,45,1
37,0,0,10,5,1,0,18509,235,60,1
35,4,1,10,5,2,1,18763,200,55,1
16,3,0,1,4,1,1,17366,224,50,0
15,2,0,8,6,1,0,17397,212,50,0
14,6,0,1,6,0,0,15488,169,56,0
16,1,0,5,11,0,0,17502,214,35,0
13,3,1,5,3,2,1,18189,217,52,1
18,10,1,2,5,1,0,17387,250,43,0
16,3,0,3,3,0,0,17578,227,54,0
19,2,1,7,8,1,0,18785,240,52,0
16,3,1,6,7,0,0,16720,215,34,0
15,1,1,3,4,1,0,17683,223,56,1
10,1,1,5,7,0,0,16604,191,52,0
19,3,1,8,2,0,0,18495,209,44,1
18,4,1,9,7,1,0,17350,207,36,1
29,2,1,5,2,0,0,18818,245,49,0
14,3,0,2,8,1,0,17694,211,60,0
15,2,1,2,4,2,1,18134,239,64,1
12,2,1,8,5,1,1,18512,203,59,0
15,5,1,4,3,1,0,17653,244,47,0
18,1,0,10,7,0,0,19949,228,52,1
15,2,1,6,3,1,0,18593,241,44,1
14,2,1,5,4,0,0,17494,236,46,1
14,3,1,8,8,0,0,17447,214,40,0
15,2,0,1,8,1,0,16461,214,55,0
14,2,0,13,7,0,0,19886,238,40,1
16,4,0,11,13,1,0,16837,182,56,0
15,2,0,4,9,0,0,18226,224,56,1
17,2,0,8,11,1,1,16613,180,37,1
23,2,1,5,9,0,0,16844,229,39,0
15,5,0,4,7,1,0,17438,234,60,1
56,2,1,7,8,2,1,17154,190,44,1
16,3,1,12,3,1,0,19855,201,48,1
13,4,0,4,7,0,0,18073,201,68,1
17,6,1,8,4,1,0,18253,246,31,1
14,6,1,12,8,2,1,18530,221,52,1
21,5,1,13,3,1,0,19021,246,36,1
22,3,0,5,9,0,0,14986,193,36,0
15,4,0,4,4,2,1,18889,274,50,1
22,6,1,5,10,1,1,18225,269,51,0
38,2,0,5,10,0,0,17635,176,48,0
15,4,0,5,8,0,0,17306,212,47,0
46,0,1,8,3,1,0,18610,211,55,1
17,3,1,8,7,0,0,18932,222,55,0
12,5,1,5,6,1,0,17033,234,44,0
10,2,0,2,6,0,0,17517,234,48,1
12,2,1,14,6,1,1,17976,194,50,1
17,2,1,11,6,1,0,18175,199,56,0
18,3,0,6,5,2,1,18618,253,52,1
19,3,1,2,11,0,0,16588,226,54,0
17,0,0,4,7,2,1,16489,190,64,1
14,2,0,3,6,0,0,17848,252,46,0
13,3,0,2,5,1,1,17192,205,52,0
30,13,1,4,2,0,0,17540,182,61,0
18,6,0,6,4,1,0,18755,218,71,1
53,4,0,7,11,0,0,16771,189,44,1
17,2,0,7,10,0,0,16826,198,45,1
85,3,1,4,8,0,0,17467,226,47,0
14,2,0,5,6,1,1,17562,222,51,0
18,4,1,7,4,2,1,18563,211,60,1
22,2,0,6,3,0,0,19142,232,54,1
16,3,1,4,9,0,0,17694,195,48,0
16,3,0,5,5,0,0,19372,238,63,0
38,0,1,8,2,0,0,18615,238,45,1
17,5,0,2,8,0,0,17054,194,48,0
16,4,0,6,2,0,0,19231,243,64,1
13,2,1,1,4,0,0,15893,229,32,0
18,1,1,5,8,0,0,17777,234,60,0
15,0,1,5,8,0,0,18165,227,56,0
18,4,1,6,5,0,0,18761,227,57,1
18,3,1,5,2,2,1,17913,228,56,1
20,0,0,8,8,1,1,17433,193,54,0
14,1,0,2,6,0,0,18134,234,42,0
17,2,0,2,4,1,0,17436,195,72,1
15,1,1,3,12,0,0,18223,220,68,0
17,3,0,3,13,0,0,14121,167,46,0
18,1,0,7,8,1,0,18283,238,58,1
19,4,1,6,4,1,1,17961,232,53,1
18,3,0,8,14,0,0,15375,142,40,0
17,8,1,10,5,1,0,18615,202,34,0
17,3,0,1,5,1,0,17511,239,59,0
14,4,0,5,8,2,1,17637,231,56,1
19,2,0,7,10,1,0,16577,173,36,1
10,1,1,7,5,1,1,18857,246,47,1
15,2,1,4,1,1,0,17062,217,48,1
27,1,1,6,5,0,0,19024,218,72,1
76,2,1,5,5,1,1,18210,230,60,1
19,4,1,12,2,1,0,20189,251,37,1
13,2,0,4,11,2,1,16530,210,45,0
78,2,1,9,3,1,0,18327,220,47,1
11,5,1,6,9,0,0,18038,231,40,0
14,7,0,3,8,0,0,17505,217,52,0
15,11,1,4,1,1,0,18188,228,48,1
15,5,0,11,10,0,0,17699,192,52,1
16,2,1,7,6,1,1,15869,226,33,1
17,3,0,10,10,0,0,18221,219,38,1
15,3,1,9,2,1,0,18925,263,51,1
14,1,0,9,8,1,0,18225,196,60,0
39,1,0,1,5,0,0,16819,174,48,0
38,5,1,2,1,1,1,17246,214,56,1
14,3,0,4,3,1,0,18358,217,70,1
12,0,1,3,7,0,0,17345,215,48,1
41,4,1,7,8,0,0,17328,203,47,0
12,15,1,4,4,1,1,18861,232,51,0
16,4,1,5,7,0,0,17235,221,64,0
20,3,0,11,4,1,0,19989,234,52,1
16,5,1,11,5,1,0,19203,227,45,1
15,13,0,3,9,1,0,18284,204,52,0
38,0,1,6,4,2,1,18261,221,56,1
17,3,1,4,7,1,0,16983,206,39,0
16,3,1,6,1,1,0,17551,208,56,1
32,2,0,10,12,0,0,16725,149,39,0
25,3,1,6,5,1,1,19427,225,67,1
18,2,0,10,6,0,0,18121,223,38,1
20,0,0,8,12,0,0,17368,182,54,0
16,3,1,7,9,1,0,17370,231,38,0
20,7,0,11,4,0,0,18570,239,48,1
34,2,0,6,7,1,1,18397,234,62,0
16,2,1,4,8,1,0,17821,238,47,1
11,3,0,11,4,1,0,19562,216,58,1
15,3,0,1,6,0,0,16963,207,56,0
13,5,1,3,9,0,0,16234,201,42,0
15,2,0,3,10,0,0,17888,209,56,0
19,0,0,13,4,1,0,19575,234,48,1
15,2,0,3,2,0,0,19539,253,68,1
15,1,1,9,7,0,0,19334,238,56,0
40,3,0,7,6,0,0,17998,198,41,1
43,2,1,5,4,1,1,17816,213,56,1
143,5,1,10,7,1,0,18125,213,37,0
41,5,1,8,5,1,0,18853,219,54,1
20,1,1,5,6,1,0,16853,190,63,1
15,0,1,7,9,0,0,16510,199,44,0
11,1,0,5,5,0,0,18169,209,48,0
14,2,1,6,3,1,0,17908,215,48,1
11,6,1,8,4,2,1,20427,259,52,1
97,3,0,11,7,1,0,15357,153,32,0
19,4,1,8,4,0,0,18805,226,44,1
16,1,0,3,4,0,0,15922,224,41,0
33,2,0,14,10,0,0,18307,199,48,1
16,3,0,15,11,0,0,17678,180,42,1
14,1,1,6,7,0,0,17964,207,41,0
16,0,1,5,1,1,1,18393,252,48,1
18,4,0,4,7,2,1,17099,185,72,0
21,3,0,8,8,0,0,16891,175,36,1
18,4,0,8,4,0,0,18433,207,36,1
17,3,1,4,4,1,0,18640,240,60,0
12,1,0,5,4,0,0,18319,202,57,1
15,3,1,8,7,2,1,18381,212,44,0
18,1,0,4,9,0,0,16718,203,44,0
17,1,1,6,8,0,0,17071,213,46,0
13,4,1,11,8,1,0,17740,238,46,1
18,5,0,8,2,2,1,19612,243,52,1
51,11,1,9,1,0,0,20923,249,63,1
51,2,0,3,4,1,0,16491,215,50,0
37,0,0,8,7,0,0,16987,185,48,1
16,6,1,9,10,1,0,17127,200,50,1
37,4,0,3,5,0,0,18244,231,49,0
12,4,0,3,8,0,0,17054,211,56,0
16,2,0,4,4,0,0,17035,221,53,1
14,4,0,7,7,1,1,18446,209,52,0
41,4,0,7,7,1,0,18466,201,55,1
16,14,0,6,4,1,1,19584,241,58,1
15,4,1,10,3,0,0,20404,266,55,1
35,6,1,5,4,1,0,19033,224,52,0
146,1,0,11,7,0,0,19054,220,48,1
39,1,1,10,10,1,1,19763,183,83,0
17,6,1,9,4,0,0,19278,249,38,1
14,2,1,7,6,1,0,15789,196,32,1
22,1,1,10,4,1,0,17817,157,48,0
16,5,1,5,3,2,1,17693,216,36,1
10,2,1,9,6,0,0,17294,168,56,1
50,4,1,10,6,1,0,17430,186,47,1
21,4,1,6,4,2,1,18461,239,40,1
11,5,1,13,6,0,0,19339,226,56,1
12,2,0,2,9,0,0,16505,203,42,0
17,2,0,4,5,0,0,17852,243,63,0
17,1,0,3,10,0,0,15833,194,42,0
12,3,1,8,4,1,0,18276,247,53,1
16,2,1,6,3,1,0,18085,225,54,1
16,2,1,6,5,2,1,18782,224,57,1
12,0,0,5,6,1,0,18030,185,48,1
16,15,1,6,7,2,1,17580,222,39,0
11,1,0,7,6,0,0,19085,236,53,1
16,6,1,8,1,0,0,19335,207,52,1
17,2,0,10,8,0,0,18544,204,51,0
30,4,0,6,8,1,0,18095,211,48,1
15,3,1,12,1,2,1,19415,227,56,1
13,2,0,2,5,0,0,17214,232,60,0
13,3,0,3,8,0,0,16433,198,40,0
14,2,0,5,4,0,0,18582,252,42,1
16,1,0,5,8,1,0,17247,196,49,0
17,3,1,1,2,1,0,16837,217,51,1
19,3,0,8,9,0,0,17591,211,40,1
38,3,0,4,5,0,0,17734,226,48,1
14,1,1,4,5,0,0,18763,235,64,1
15,2,0,8,9,1,0,17635,214,52,1
18,1,1,7,4,1,0,16018,173,57,1
16,1,1,6,3,1,1,18274,247,59,1
15,3,0,7,16,0,0,16096,172,42,0
14,2,1,7,7,1,0,17256,216,48,1
15,3,0,6,7,0,0,18202,213,49,0
11,4,0,2,8,0,0,17660,208,60,0
15,4,0,2,5,1,0,16843,214,45,0
12,4,0,3,5,0,0,17432,201,45,1
20,6,0,9,8,0,0,19590,218,64,1
31,5,0,7,7,0,0,19001,240,56,0
16,4,1,8,0,1,0,19034,249,55,1
15,2,1,8,3,1,1,18529,197,48,1
17,1,1,6,6,1,0,18240,225,59,1
15,5,1,7,4,2,1,18641,223,64,1
16,2,1,12,10,2,1,18043,165,64,1
17,1,1,7,1,1,0,18771,255,55,1
22,5,1,13,3,0,0,18610,232,35,1
15,3,1,6,6,0,0,18564,236,47,0
62,2,1,6,1,2,1,18535,231,44,1
21,4,0,1,3,1,1,17598,247,50,0
91,2,1,8,6,1,0,17576,187,47,1
39,5,0,8,11,1,1,18240,217,55,0
12,2,0,10,8,2,1,20693,252,64,1
16,3,1,9,1,0,0,19225,242,60,0
19,4,0,4,2,0,0,17499,234,46,1
28,7,0,6,9,0,0,16348,177,43,1
16,1,0,5,7,0,0,16128,182,32,0
14,2,0,7,12,0,0,16732,184,52,0
16,3,1,7,13,0,0,17530,202,56,0
13,1,0,0,6,0,0,15827,184,61,0
19,4,1,7,3,1,0,16709,212,32,1
94,3,0,3,9,0,0,15049,184,44,0
17,3,1,7,6,0,0,17473,205,59,0
15,2,1,11,5,2,1,20136,225,63,1
88,4,1,9,7,0,0,19207,243,44,1
17,3,0,4,7,0,0,16345,196,47,0
15,3,0,7,7,0,0,17342,212,60,1
12,1,0,9,6,0,0,18061,208,36,0
51,4,1,11,3,1,0,18021,188,64,1
18,2,1,10,4,1,1,18882,186,50,1
22,3,0,8,11,1,1,18429,206,36,0
15,1,0,5,7,0,0,17712,201,40,0
15,3,0,6,6,1,0,17010,197,48,0
68,2,1,9,3,0,0,18091,209,48,1
16,7,1,8,8,1,0,17918,199,48,0
81,0,0,6,12,0,0,17180,215,39,0
15,0,1,12,5,1,1,18883,214,67,1
15,1,0,10,4,1,1,19537,232,57,1
9,1,0,0,9,0,0,16250,190,54,0
16,2,1,8,3,2,1,19718,233,56,1
16,2,0,8,4,0,0,18409,214,67,0
17,2,1,12,6,1,0,20302,227,49,1
44,3,1,7,5,1,0,18142,192,60,1
13,0,1,4,3,0,0,18238,216,44,0
85,3,0,2,6,0,0,17898,219,51,0
21,3,1,9,9,1,0,16724,221,40,1
13,2,1,16,5,1,1,20228,230,36,1
15,0,1,9,4,2,1,19194,227,61,1
18,2,1,5,4,0,0,16776,220,42,0
23,3,1,4,7,0,0,18437,224,76,1
13,4,1,5,5,1,1,17694,182,40,0
18,1,1,5,6,0,0,18385,225,40,1
15,1,0,6,3,0,0,17690,204,55,1
20,0,1,10,3,0,0,18419,181,56,1
13,3,1,12,8,1,0,18071,202,44,1
72,1,1,11,6,0,0,18859,196,38,0
60,1,1,6,8,0,0,18062,228,53,0
26,3,0,10,6,0,0,20329,230,67,1
16,0,0,3,4,0,0,17351,241,42,0
14,1,1,8,7,1,0,19042,203,66,1
14,2,0,5,7,1,1,19251,240,57,1
14,2,0,4,9,0,0,15965,197,50,0
13,7,1,11,10,1,1,16183,172,41,0
21,4,0,8,7,0,0,18303,193,50,1
18,3,1,7,3,2,1,18597,237,56,1
20,2,0,11,7,0,0,18664,187,42,1
15,1,0,3,7,1,1,17965,244,53,1
16,3,1,2,4,0,0,16647,235,47,0
21,3,1,9,7,0,0,17982,201,59,1
88,4,1,8,4,1,0,18822,246,48,1
14,4,1,4,4,2,1,18549,220,70,1
13,0,0,3,8,0,0,16097,209,50,0
11,2,1,11,2,2,1,19432,236,52,0
17,2,0,8,5,0,0,18737,229,32,0
13,2,1,3,2,1,1,18818,227,67,0
18,8,0,6,11,0,0,17595,232,37,0
11,4,1,18,13,0,0,19294,236,44,1
16,3,0,5,4,0,0,18912,233,53,1
16,1,0,2,11,0,0,15122,180,44,0
14,0,0,8,11,1,0,17809,190,35,0
13,2,1,3,1,0,0,18954,279,58,1
18,1,1,9,5,1,0,19286,235,56,0
15,7,0,11,7,0,0,22224,233,60,0
14,3,0,5,3,0,0,19473,211,52,0
14,3,0,2,9,0,0,15716,180,51,0
37,3,0,0,5,0,0,16464,202,43,0
13,1,0,3,6,0,0,16966,219,48,0
25,4,0,11,6,0,0,18358,189,60,1
17,3,1,17,5,1,0,18620,199,40,1
18,2,0,5,5,0,0,16443,193,49,1
20,5,1,11,3,1,0,18095,224,51,1
19,1,1,11,6,1,0,17602,195,52,1
17,5,0,4,2,2,1,18508,228,40,1
14,1,0,8,7,0,0,19086,208,77,1
43,4,1,7,0,2,1,19534,240,53,1
17,7,0,8,9,1,0,18266,224,41,0
15,2,1,7,4,2,1,19568,256,61,1
13,7,0,4,6,1,1,17842,192,48,0
17,4,1,4,8,1,0,17360,222,59,0
24,7,0,12,12,1,1,16786,188,36,0
16,2,1,7,4,1,0,19078,255,58,0
12,2,0,3,11,0,0,17148,197,63,0
18,3,1,5,6,0,0,17058,231,39,1
14,1,1,9,5,1,1,17807,231,42,0
13,4,1,9,5,0,0,18969,232,36,0
13,2,0,3,6,1,0,16806,210,54,0
18,2,1,4,3,1,1,18873,250,48,1
17,3,1,7,7,1,1,17321,193,68,0
15,2,1,11,11,0,0,18974,198,49,0
16,2,1,6,5,1,0,19080,251,64,0
12,3,0,3,8,1,0,17667,220,55,0
17,3,1,5,5,1,0,18795,238,46,1
9,0,1,2,5,1,0,17328,231,61,0
12,5,1,7,4,0,0,19299,238,58,0
16,0,0,4,8,0,0,16159,205,44,0
17,3,1,7,10,0,0,13858,169,52,0
20,4,0,11,7,0,0,18727,212,43,0
12,3,0,11,14,0,0,19238,198,48,0
13,5,0,7,9,1,1,18098,216,56,1
20,4,0,7,5,0,0,18344,198,40,1
14,0,0,6,7,0,0,16426,187,50,0
15,3,1,5,9,0,0,15234,197,40,0
23,5,1,6,7,0,0,17791,221,49,0
11,3,1,8,8,1,1,19772,214,51,0
17,2,1,3,4,1,0,18579,222,80,0
16,6,0,4,9,1,0,18666,225,60,1
15,4,0,8,11,0,0,18186,229,48,0
20,5,1,8,2,2,1,20458,262,52,1
18,3,1,6,1,2,1,18785,248,48,1
13,2,0,4,4,0,0,17517,225,46,0
18,7,1,7,8,0,0,17725,206,42,1
15,4,0,1,4,1,0,18363,216,60,0
15,3,1,7,5,0,0,17273,217,35,1
15,1,1,4,9,1,1,16275,189,46,0
21,3,1,5,2,0,0,18701,245,53,1
14,4,0,4,8,1,1,18316,226,50,0
15,3,1,5,6,0,0,19195,254,63,1
23,6,1,10,6,0,0,19206,220,61,1
16,2,0,4,11,2,1,16983,188,59,0
13,0,1,6,9,1,0,17134,191,44,0
21,4,0,6,12,1,0,17082,208,47,0
19,5,0,2,4,0,0,19256,225,60,1
19,2,0,4,7,1,1,16970,211,40,0
18,4,1,8,8,1,0,16898,214,43,0
63,6,0,9,4,0,0,20169,238,52,0
21,3,1,5,3,1,0,17829,247,39,1
16,3,0,7,7,2,1,19174,222,48,1
20,3,1,9,8,1,0,17309,211,48,0
15,3,1,5,2,1,0,17742,231,56,1
17,1,1,3,4,0,0,17551,233,59,0
87,3,0,7,3,2,1,18087,212,56,0
16,4,0,4,5,0,0,16660,204,49,1
19,2,1,9,7,0,0,19183,226,44,1
19,3,1,10,7,1,1,18563,186,49,0
15,1,0,9,8,0,0,17906,199,36,1
25,3,1,8,5,1,0,17683,233,43,1
17,5,1,11,7,0,0,18764,243,49,1
17,4,1,7,8,1,0,17930,230,28,1
18,5,0,6,8,0,0,18604,226,43,0
16,3,1,9,9,1,0,17668,212,40,0
15,18,0,4,4,0,0,17555,215,41,0
16,1,1,7,6,0,0,18372,244,56,1
