@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for SPE GeoEnergy Hackathon 2021            @@@
Well name: E01
depth(m)	 transit time (micron/sec)
2329.7964	  253.554109
2329.9104	  246.653734
2330.0243	  255.069470
2330.1383	  252.280850
2330.2522	  248.194372
2330.3662	  247.665566
2330.4801	  250.306955
2330.5940	  245.173576
2330.7080	  253.527466
2330.8219	  248.661885
2330.9359	  252.870055
2331.0498	  246.368108
2331.1638	  255.401395
2331.2777	  248.568428
2331.3917	  250.515864
2331.5056	  249.386101
2331.6196	  249.987866
2331.7335	  256.047309
2331.8475	  252.011339
2331.9614	  255.450874
2332.0754	  249.786743
2332.1893	  262.271319
2332.3033	  252.129492
2332.4172	  258.371728
2332.5312	  244.795974
2332.6451	  250.907285
2332.7591	  247.130074
2332.8730	  250.037949
2332.9870	  256.696478
2333.1009	  255.727109
2333.2148	  251.232763
2333.3288	  253.152078
2333.4427	  250.419789
2333.5567	  261.521928
2333.6706	  253.869159
2333.7846	  253.123916
2333.8985	  246.159349
2334.0125	  251.412836
2334.1264	  260.257419
2334.2404	  245.807602
2334.3543	  279.188765
2334.4683	  276.161022
2334.5822	  269.878924
2334.6962	  274.118170
2334.8101	  276.487629
2334.9241	  271.737404
2335.0380	  271.363189
2335.1520	  263.174271
2335.2659	  268.479487
2335.3799	  268.897368
2335.4938	  267.019806
2335.6078	  270.109024
2335.7217	  263.042934
2335.8357	  271.203092
2335.9496	  272.047544
2336.0635	  264.106161
2336.1775	  270.491423
2336.2914	  273.750092
2336.4054	  271.772888
2336.5193	  265.836580
2336.6333	  269.979976
2336.7472	  266.864649
2336.8612	  271.448829
2336.9751	  268.472815
2337.0891	  272.345620
2337.2030	  278.505368
2337.3170	  251.911702
2337.4309	  248.830650
2337.5449	  255.508443
2337.6588	  247.065488
2337.7728	  251.072830
2337.8867	  240.817541
2338.0007	  251.958080
2338.1146	  256.337758
2338.2286	  249.195859
2338.3425	  250.648337
2338.4565	  253.329254
2338.5704	  248.782714
2338.6843	  247.905051
2338.7983	  253.813270
2338.9122	  248.601573
2339.0262	  252.792999
2339.1401	  246.605114
2339.2541	  250.426261
2339.3680	  250.054471
2339.4820	  242.059966
2339.5959	  252.927529
2339.7099	  240.699723
2339.8238	  251.852100
2339.9378	  252.996264
2340.0517	  252.759934
2340.1657	  246.547432
2340.2796	  239.622932
2340.3936	  244.596557
2340.5075	  241.421562
2340.6215	  244.175614
2340.7354	  238.656099
2340.8494	  234.470587
2340.9633	  239.288939
2341.0773	  247.977306
2341.1912	  238.016283
2341.3052	  241.821120
2341.4191	  247.344432
2341.5330	  239.393349
2341.6470	  242.819323
2341.7609	  240.347833
2341.8749	  240.715298
2341.9888	  236.518003
2342.1028	  241.345519
2342.2167	  239.763145
2342.3307	  239.912365
2342.4446	  237.889093
2342.5586	  243.070216
2342.6725	  234.346237
2342.7865	  244.868668
2342.9004	  244.116551
2343.0144	  244.696109
2343.1283	  239.234558
2343.2423	  236.779404
2343.3562	  269.297007
2343.4702	  269.231649
2343.5841	  269.191075
2343.6981	  270.619210
2343.8120	  263.647824
2343.9260	  267.158188
2344.0399	  262.948939
2344.1538	  266.141102
2344.2678	  264.824779
2344.3817	  270.042362
2344.4957	  273.941310
2344.6096	  267.256191
2344.7236	  272.822659
2344.8375	  267.091561
2344.9515	  269.382389
2345.0654	  262.886290
2345.1794	  264.351663
2345.2933	  268.350644
2345.4073	  264.974170
2345.5212	  264.391755
2345.6352	  268.102831
2345.7491	  261.803201
2345.8631	  263.798759
2345.9770	  270.156713
2346.0910	  260.029753
2346.2049	  263.001182
2346.3189	  246.232718
2346.4328	  252.393853
2346.5468	  244.802836
2346.6607	  240.068021
2346.7746	  252.663398
2346.8886	  251.562816
2347.0025	  249.531429
2347.1165	  249.139787
2347.2304	  243.609558
2347.3444	  246.654472
2347.4583	  256.385604
2347.5723	  245.785072
2347.6862	  246.172877
2347.8002	  244.691523
2347.9141	  245.857240
2348.0281	  256.181829
2348.1420	  246.461831
2348.2560	  250.205265
2348.3699	  254.221669
2348.4839	  247.945569
2348.5978	  254.359286
2348.7118	  248.843858
2348.8257	  235.324620
2348.9397	  243.141355
2349.0536	  254.217746
2349.1676	  256.363610
2349.2815	  192.701127
2349.3955	  190.053027
2349.5094	  179.726306
2349.6233	  190.344016
2349.7373	  191.352528
2349.8512	  189.144825
2349.9652	  192.700619
2350.0791	  198.423485
2350.1931	  189.884628
2350.3070	  189.968934
2350.4210	  195.846829
2350.5349	  198.162452
2350.6489	  193.025555
2350.7628	  191.382640
2350.8768	  189.421998
2350.9907	  195.319606
2351.1047	  190.694988
2351.2186	  197.296291
2351.3326	  191.194695
2351.4465	  194.906505
2351.5605	  196.582171
2351.6744	  190.649909
2351.7884	  195.617668
2351.9023	  198.874124
2352.0163	  190.780687
2352.1302	  192.880203
2352.2441	  273.925449
2352.3581	  255.144546
2352.4720	  266.197677
2352.5860	  273.014816
2352.6999	  265.188981
2352.8139	  264.254167
2352.9278	  278.252806
2353.0418	  268.774170
2353.1557	  270.418327
2353.2697	  269.764439
2353.3836	  268.416299
2353.4976	  270.284775
2353.6115	  268.129242
2353.7255	  262.462302
2353.8394	  271.457619
2353.9534	  271.902085
2354.0673	  265.757026
2354.1813	  272.633644
2354.2952	  275.758004
2354.4092	  269.755729
2354.5231	  273.142254
2354.6371	  270.621728
2354.7510	  265.909381
2354.8649	  268.731227
2354.9789	  276.022092
2355.0928	  264.912378
2355.2068	  265.934574
2355.3207	  198.538162
2355.4347	  200.383087
2355.5486	  198.240469
2355.6626	  205.558012
2355.7765	  207.945796
2355.8905	  201.881630
2356.0044	  202.354221
2356.1184	  202.677720
2356.2323	  199.017851
2356.3463	  204.136503
2356.4602	  209.925219
2356.5742	  202.000913
2356.6881	  197.730074
2356.8021	  209.818354
2356.9160	  197.735844
2357.0300	  199.942621
2357.1439	  207.213948
2357.2579	  196.947189
2357.3718	  200.912292
2357.4858	  200.566731
2357.5997	  208.110533
2357.7136	  203.196702
2357.8276	  204.373932
2357.9415	  202.514172
2358.0555	  205.150589
2358.1694	  205.941663
2358.2834	  268.082714
2358.3973	  271.882690
2358.5113	  276.596742
2358.6252	  270.846067
2358.7392	  274.495616
2358.8531	  267.953117
2358.9671	  280.331394
2359.0810	  276.741371
2359.1950	  270.645634
2359.3089	  267.335928
2359.4229	  270.432548
2359.5368	  280.152287
2359.6508	  273.431640
2359.7647	  270.062464
2359.8787	  270.529538
2359.9926	  274.972878
2360.1066	  273.533406
2360.2205	  271.557542
2360.3344	  271.209476
2360.4484	  280.805029
2360.5623	  278.837286
2360.6763	  265.961469
2360.7902	  271.034177
2360.9042	  272.578630
2361.0181	  272.163801
2361.1321	  267.394359
2361.2460	  243.703026
2361.3600	  239.312464
2361.4739	  244.068067
2361.5879	  242.649041
2361.7018	  235.236490
2361.8158	  242.362237
2361.9297	  243.207132
2362.0437	  235.918703
2362.1576	  237.851438
2362.2716	  238.492379
2362.3855	  238.350109
2362.4995	  239.449656
2362.6134	  236.262832
2362.7274	  246.303982
2362.8413	  234.383185
2362.9553	  239.394615
2363.0692	  228.819447
2363.1831	  236.513661
2363.2971	  236.712939
2363.4110	  234.723833
2363.5250	  228.705143
2363.6389	  231.983766
2363.7529	  237.598471
2363.8668	  234.005529
2363.9808	  242.146914
2364.0947	  238.433073
2364.2087	  248.653730
2364.3226	  249.925662
2364.4366	  249.027261
2364.5505	  249.357063
2364.6645	  246.890347
2364.7784	  246.752917
2364.8924	  245.860080
2365.0063	  247.432961
2365.1203	  246.332481
2365.2342	  256.239437
2365.3482	  243.974429
2365.4621	  241.061295
2365.5761	  256.065609
2365.6900	  248.348535
