@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for SPE GeoEnergy Hackathon 2021            @@@
Well name: E03
depth(m)	 transit time (micron/sec)
2106.2832	  237.298132
2106.7064	  233.307699
2107.1296	  239.011144
2107.5528	  237.666256
2107.9760	  232.583979
2108.3992	  237.333610
2108.8224	  240.333174
2109.2456	  234.219490
2109.6688	  238.229974
2110.0920	  246.735027
2110.5153	  232.174650
2110.9385	  235.464207
2111.3617	  236.363486
2111.7849	  246.896653
2112.2081	  246.650661
2112.6313	  251.581641
2113.0545	  240.751470
2113.4777	  247.365132
2113.9009	  245.714899
2114.3241	  241.927367
2114.7473	  239.468226
2115.1705	  242.532886
2115.5937	  239.769261
2116.0169	  247.741165
2116.4401	  236.601524
2116.8633	  252.743627
2117.2866	  240.241259
2117.7098	  238.959047
2118.1330	  252.281725
2118.5562	  244.697962
2118.9794	  240.415457
2119.4026	  239.885852
2119.8258	  248.374871
2120.2490	  243.428135
2120.6722	  245.755111
2121.0954	  246.827677
2121.5186	  240.884126
2121.9418	  246.468199
2122.3650	  248.645543
2122.7882	  255.137400
2123.2114	  260.014921
2123.6346	  262.866226
2124.0579	  258.075943
2124.4811	  258.175517
2124.9043	  258.056005
2125.3275	  262.062000
2125.7507	  259.356131
2126.1739	  257.888192
2126.5971	  251.291472
2127.0203	  259.880903
2127.4435	  258.667772
2127.8667	  252.634818
2128.2899	  249.346546
2128.7131	  252.412945
2129.1363	  256.710459
2129.5595	  258.159298
2129.9827	  254.008589
2130.4060	  250.355668
2130.8292	  262.071875
2131.2524	  263.859531
2131.6756	  265.246019
2132.0988	  263.217216
2132.5220	  255.160865
2132.9452	  259.609864
2133.3684	  260.347803
2133.7916	  248.416420
2134.2148	  249.394220
2134.6380	  235.737377
2135.0612	  246.813052
2135.4844	  242.674170
2135.9076	  240.559995
2136.3308	  244.750705
2136.7540	  251.294118
2137.1773	  253.234146
2137.6005	  241.205726
2138.0237	  239.797959
2138.4469	  239.273933
2138.8701	  245.581855
2139.2933	  232.324251
2139.7165	  248.727202
2140.1397	  244.085034
2140.5629	  243.404065
2140.9861	  245.869115
2141.4093	  251.249299
2141.8325	  237.777603
2142.2557	  243.746436
2142.6789	  245.702354
2143.1021	  253.129619
2143.5254	  245.137769
2143.9486	  247.361728
2144.3718	  258.671831
2144.7950	  241.638132
2145.2182	  247.236921
2145.6414	  246.086155
2146.0646	  241.636682
2146.4878	  244.212290
2146.9110	  245.042949
2147.3342	  243.323932
2147.7574	  250.072218
2148.1806	  243.267751
2148.6038	  244.554037
2149.0270	  244.905906
2149.4502	  257.172476
2149.8734	  240.536800
2150.2967	  245.583537
2150.7199	  246.204774
2151.1431	  239.603022
2151.5663	  241.373950
2151.9895	  251.749256
2152.4127	  248.509323
2152.8359	  250.252568
2153.2591	  246.132929
2153.6823	  247.270660
2154.1055	  242.842888
2154.5287	  242.856437
2154.9519	  252.825599
2155.3751	  249.100288
2155.7983	  254.451913
2156.2215	  272.472395
2156.6447	  278.806963
2157.0680	  270.957922
2157.4912	  264.070976
2157.9144	  273.142083
2158.3376	  273.993987
2158.7608	  273.900136
2159.1840	  270.323944
2159.6072	  275.570536
2160.0304	  268.765382
2160.4536	  269.124890
2160.8768	  273.775074
2161.3000	  277.249968
2161.7232	  268.046648
2162.1464	  270.286651
2162.5696	  278.393415
2162.9928	  267.770801
2163.4161	  277.750314
2163.8393	  275.621415
2164.2625	  264.375013
2164.6857	  270.790366
2165.1089	  277.477968
2165.5321	  274.979253
2165.9553	  270.641743
2166.3785	  274.545031
2166.8017	  269.942861
2167.2249	  250.073280
2167.6481	  250.101956
2168.0713	  252.966003
2168.4945	  253.294329
2168.9177	  260.499175
2169.3409	  252.165545
2169.7641	  252.628793
2170.1874	  244.844136
2170.6106	  248.567691
2171.0338	  251.847181
2171.4570	  253.182600
2171.8802	  249.269644
2172.3034	  262.286536
2172.7266	  255.007072
2173.1498	  261.137654
2173.5730	  252.574332
2173.9962	  253.302402
2174.4194	  250.870194
2174.8426	  251.883185
2175.2658	  248.462156
2175.6890	  255.167465
2176.1122	  254.635629
2176.5355	  254.966281
2176.9587	  253.197688
2177.3819	  246.779642
2177.8051	  255.918110
2178.2283	  222.702696
2178.6515	  217.674536
2179.0747	  222.637852
2179.4979	  211.991545
2179.9211	  217.418619
2180.3443	  217.581125
2180.7675	  220.151842
2181.1907	  219.248218
2181.6139	  221.174004
2182.0371	  230.511136
2182.4603	  227.816926
2182.8835	  223.619476
2183.3068	  223.568301
2183.7300	  220.200616
2184.1532	  222.170566
2184.5764	  221.290042
2184.9996	  225.342746
2185.4228	  218.609294
2185.8460	  214.752195
2186.2692	  222.442398
2186.6924	  217.216000
2187.1156	  219.261218
2187.5388	  222.713301
2187.9620	  223.084054
2188.3852	  218.982079
2188.8084	  223.437152
2189.2316	  242.439934
2189.6548	  234.381854
2190.0781	  245.190740
2190.5013	  244.593321
2190.9245	  242.413825
2191.3477	  239.154229
2191.7709	  237.164317
2192.1941	  244.867828
2192.6173	  241.955372
2193.0405	  242.812067
2193.4637	  238.680952
2193.8869	  248.558775
2194.3101	  244.382829
2194.7333	  248.119031
2195.1565	  238.005671
2195.5797	  235.108988
2196.0029	  244.868491
2196.4262	  238.796754
2196.8494	  236.195599
2197.2726	  243.830717
2197.6958	  241.506622
2198.1190	  244.675501
2198.5422	  240.041179
2198.9654	  240.495548
2199.3886	  240.181209
2199.8118	  245.900816
2200.2350	  248.110746
2200.6582	  239.562757
2201.0814	  238.919052
2201.5046	  231.398826
2201.9278	  231.783535
2202.3510	  231.417540
2202.7742	  237.115744
2203.1975	  233.505634
2203.6207	  233.676484
2204.0439	  235.771294
2204.4671	  238.087116
2204.8903	  232.633151
2205.3135	  236.669449
2205.7367	  236.576949
2206.1599	  234.473264
2206.5831	  232.772524
2207.0063	  235.410502
2207.4295	  226.719507
2207.8527	  238.151675
2208.2759	  233.937607
2208.6991	  232.460500
2209.1223	  231.317336
2209.5456	  233.148682
2209.9688	  234.201851
2210.3920	  238.140376
2210.8152	  231.673839
2211.2384	  232.646782
2211.6616	  243.048689
2212.0848	  237.214187
2212.5080	  234.450717
2212.9312	  237.481450
2213.3544	  239.861625
2213.7776	  232.113835
2214.2008	  239.235992
2214.6240	  237.283426
2215.0472	  234.601097
2215.4704	  245.634011
2215.8936	  235.346517
2216.3169	  234.463257
2216.7401	  236.623066
2217.1633	  247.633864
2217.5865	  236.270335
2218.0097	  238.454295
2218.4329	  235.169993
2218.8561	  239.364365
2219.2793	  234.569728
2219.7025	  245.131278
2220.1257	  245.928345
2220.5489	  246.577595
2220.9721	  240.120719
2221.3953	  235.990550
2221.8185	  237.420578
2222.2417	  243.167248
2222.6649	  243.194292
2223.0882	  242.031352
2223.5114	  241.205003
2223.9346	  236.346692
2224.3578	  247.952529
2224.7810	  243.814185
2225.2042	  251.916392
2225.6274	  239.541187
2226.0506	  244.617384
2226.4738	  245.547198
2226.8970	  251.079927
2227.3202	  243.808049
2227.7434	  248.814043
2228.1666	  248.816269
2228.5898	  238.844041
2229.0130	  246.356274
2229.4363	  245.583184
2229.8595	  239.748309
2230.2827	  251.719563
2230.7059	  245.763333
2231.1291	  241.266418
2231.5523	  241.202635
2231.9755	  246.956198
2232.3987	  243.074919
2232.8219	  246.492820
2233.2451	  248.425699
2233.6683	  238.877004
2234.0915	  238.231151
2234.5147	  234.669047
2234.9379	  245.441975
2235.3611	  237.628882
2235.7843	  233.105163
2236.2076	  239.782318
2236.6308	  235.242878
2237.0540	  238.193285
2237.4772	  240.630747
2237.9004	  245.151925
2238.3236	  241.430363
2238.7468	  235.993863
2239.1700	  235.854277
