1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),236_Oil_impurities (average),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),320_Secondary recovery methods,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management),76_Pressure_Temp_depth (ft TVDSS)
BUL HANINE,UWAINAT,1P ,QATAR,MIDDLE EAST,RUB AL KHALI,25.4333,52.7,GAS-CONDENSATE,2001.0,PRIMARY RECOVERY,DECLINE,8.00,0.0,,OFFSHORE,115.0,227.0,4375.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,8435.0,8550.0,2.0,415.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATESEALING FAULT,180.0,,,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,14.0,200.0,37.0,0.4,0.0,0.0,,100.0,,4367.0,260000.0,,410.0,,15.0,,,,DRILLING/STIMULATION/ARTIFICIAL LIFT,HORIZONTAL WELL,ACIDIZATION,,GAS LIFT,,FLOWING RATE CONTROL/GAS CONING CONTROL/WATER CONING CONTROL,8850.0
CAROLINE (SWAN HILLS),SWAN HILLS (BEAVERHILL LAKE A POOL),1P ,CANADA,NORTH AMERICA,WESTERN CANADA,51.9278,-114.5405,GAS-CONDENSATE,2006.0,SECONDARY RECOVERY,DECLINE,16.00,2200.0,65850.0,ONSHORE,-3600.0,216.0,5319.0,GAS DRIVE,2121:ORGANIC BUILDUP,11474.0,7874.0,1.5,1067.0,DEVONIAN,13:ORGANIC BUILDUP,TANK LIKE, NONE,300.0,0.43,18.29,CARBONATES,FLOATSTONE,STROMATOPOROID,,MOLDIC,10.0,100.0,0.0,,0.0,37.0,,154.0,,,100000.0,9.0,367.0,,,84.0,GAS RECYCLING,,STIMULATION,,ACIDIZATION,,,,,8872.0
CARTHAGE,LOWER PETTET (SLIGO),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,32.1988,-94.2574,GAS,2011.0,PRIMARY RECOVERY,PRIMARY REJUVENATING,470.00,640.0,93023.0,ONSHORE,-250.0,209.0,3265.0,GAS DRIVE,243:CEMENTATION,6150.0,5900.0,1.0,1210.0,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,SHALELATERAL FACIES CHANGE,250.0,0.07,4.57,CARBONATES,GRAINSTONE,OOLITE,,MOLDIC/VUGGY,18.0,35.0,94.0,,0.0,0.0,,10.0,,,,17.0,,,,,,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,,,CORROSION INHIBITOR TREATMENT/RE-COMPLETION,6090.5
CARTHAGE,UPPER PETTET (SLIGO),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,32.1988,-94.2574,GAS,2011.0,PRIMARY RECOVERY,PRIMARY REJUVENATING,231.00,640.0,66997.0,ONSHORE,-250.0,202.0,3085.0,GAS DRIVE,243:CEMENTATION,5652.0,5402.0,1.0,631.0,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE, LATERAL FACIES CHANGE,140.0,0.12,,CARBONATES,GRAINSTONE,OOLITE,,MOLDIC/VUGGY,17.0,19.0,42.0,,0.0,0.0,,,,,,17.0,,,,,,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION,,,,CORROSION INHIBITOR TREATMENT,5814.0
CATEDRAL,UNNAMED,1P ,MEXICO,LATIN AMERICA,CHIAPAS-TABASCO,17.4306,-93.3753,GAS-CONDENSATE,2008.0,PRIMARY RECOVERY,DECLINE,25.00,247.0,31070.0,ONSHORE,-1300.0,214.0,4239.0,AQUIFER DRIVE,1111:THRUST ANTICLINE,7900.0,6600.0,33.0,2070.0,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,TANK LIKE,BLOCK-BOUNDING FAULTNONE,760.0,,,CARBONATES,PACKSTONE/GRAINSTONE,RUDIST,TYPE II,MOLDIC/CAVERNOUS,6.0,100.0,57.0,,0.0,0.0,,41.0,,,,14.0,299.5,,,78.8,,,OTHER RESERVOIR MANAGEMENT,,,,,,SELECTIVE PERFORATION/SIDETRACKING,6890.0
DEEP PANUKE,ABENAKI 5,2P ,CANADA,NORTH AMERICA,SCOTIAN,43.0,-61.49,GAS,2013.0,PRODUCING,DEVELOPING,4.00,0.0,,OFFSHORE,144.36,233.67701904215187,5258.0,GAS DRIVE,241:DOLOMITIZATION-DISSOLUTION,10518.37,10662.73,1.0,833.33,JURASSIC,13:ORGANIC BUILDUP,JIGSAW-PUZZLE,SHALE/TIGHT CARBONATELATERAL DIAGENETIC CHANGE,393.7,0.41,,CARBONATES,FLOATSTONE/RUDSTONE/BOUNDSTONE,CORAL/SPONGE/STROMATOPOROID,TYPE II,INTERCRYSTALLINE/VUGGY,13.0,,0.0,,0.0,0.97,,3.28,,,94589.0,19.0,166.7,,,69.0,,,OTHER RESERVOIR MANAGEMENT,,,,,,SIDETRACKING,
EAST CROSSFIELD,WABAMUN (A POOL),1P ,CANADA,NORTH AMERICA,WESTERN CANADA,51.4001,-114.0265,GAS,2006.0,PRIMARY RECOVERY,MATURE,,1620.0,20266.7,ONSHORE,-3670.0,178.0,3620.0,GAS DRIVE,2121:ORGANIC BUILDUP,7700.0,4030.0,0.8,1400.0,DEVONIAN,13:ORGANIC BUILDUP,JIGSAW-PUZZLE, LATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,100.0,0.7,20.73,CARBONATES,FLOATSTONE/BOUNDSTONE,STROMATOPOROID,TYPE II,INTERCRYSTALLINE,6.1,5.2,0.0,,0.0,40.72,,4.0,,,,18.0,243.0,,,85.0,,,STIMULATION/ARTIFICIAL LIFT,,ACID FRACTURING,,GAS LIFT,,,5410.0
EKOFISK WEST,TOR-EKOFISK,1P ,NORWAY,EUROPE,NORTH SEA CENTRAL,56.5667,3.0847,GAS-CONDENSATE,1998.0,ABANDONED,,21.00,33.0,142172.0,OFFSHORE,230.0,266.0,7200.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,9870.0,10100.0,4.0,450.0,PALEOGENE/CRETACEOUS,14:FORESLOPE-BASIN,JIGSAW-PUZZLE,TIGHT CARBONATELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE/NON-FRACTURED ZONE,650.0,0.55,109.73,CARBONATES,,COCCOLITH,TYPE III,MICROPOROSITY,30.0,1.5,44.0,,0.0,0.0,,244.0,1.4,,60000.0,15.0,594.0,,,76.0,,,STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION,,,,SIDETRACKING,10400.0
GHAWAR,KHUFF-C,1P ,SAUDI ARABIA,MIDDLE EAST,THE GULF,25.925,49.2333,GAS,2001.0,PRIMARY RECOVERY,DECLINE,,980.0,,ONSHORE,-700.0,275.0,7500.0,GAS DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,10900.0,10200.0,10.0,700.0,PERMIAN,11:LOW-ENERGY CARBONATE MUD,LABYRINTH,TIGHT CARBONATELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE/SEALING FAULT,250.0,,,CARBONATES,GRAINSTONE,PELOID,,MOLDIC,17.0,5.0,47.5,,0.0,14.0,,,,,,,,,,,,,STIMULATION,,ACID FRACTURING,,,,,11000.0
GIDDINGS,AUSTIN CHALK (DEEP),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,29.77,-97.2067,GAS,2011.0,PRIMARY RECOVERY,SECONDARY MATURE,228.00,0.0,147975.0,ONSHORE,-360.0,350.0,7290.35309713097,GAS DRIVE,242:FRACTURING,12500.0,12138.0,1.5,,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,SHALE/TIGHT CARBONATENON-FRACTURED ZONE,350.0,,,CARBONATES,,COCCOLITH,TYPE II,MICROPOROSITY,5.0,,0.0,,0.0,0.0,,,1.46,,,65.0,,,,,,,STIMULATION/OTHER RESERVOIR MANAGEMENT,,HYDRAULIC FRACTURING (SINGLE STAGE),,,,SIDETRACKING,
GROSMONT,GROSMONT (SALESKI FIELD),1P ,CANADA,NORTH AMERICA,WESTERN CANADA,54.8038,-113.4843,GAS,2009.0,PRIMARY RECOVERY,MATURE,,1600.0,4234.0,ONSHORE,-880.0,59.0,114.0,AQUIFER DRIVE,2211:REGIONAL SUBCROP,,,0.6,,DEVONIAN,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,SHALELATERAL DIAGENETIC CHANGE,346.0,,23.77,CARBONATES,PACKSTONE/GRAINSTONE/FLOATSTONE,STROMATOPOROID,,INTERCRYSTALLINE,15.0,310.0,0.0,,0.0,0.0,,,,,,6.0,35.0,,,74.0,,,STIMULATION,,ACIDIZATION,,,,,
HARMATTAN EAST,TURNER VALLEY (RUNDLE GAS CAP),1P ,CANADA,NORTH AMERICA,WESTERN CANADA,51.7569,-114.4351,GAS-CONDENSATE,2009.0,SECONDARY RECOVERY,MATURE,24.00,640.0,32673.0,ONSHORE,-3500.0,191.0,3433.0,GAS DRIVE,2221:BURIED-HILL,8250.0,4750.0,1.0,,CARBONIFEROUS,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE,TIGHT CARBONATELATERAL FACIES CHANGE,80.0,,11.58,CARBONATES,WACKESTONE/PACKSTONE,BRYOZOAN/CRINOID,,INTERCRYSTALLINE,8.6,20.0,0.0,,0.0,0.54,,44.0,,,50000.0,22.0,292.0,,,78.0,GAS RECYCLING,,DRILLING,HORIZONTAL WELL,,,,,,5000.0
HARMATTAN-ELKTON,TURNER VALLEY (RUNDLE C GAS CAP),1P ,CANADA,NORTH AMERICA,WESTERN CANADA,51.6624,-114.429,GAS-CONDENSATE,2009.0,SECONDARY RECOVERY,MATURE,31.00,640.0,32340.0,ONSHORE,-3700.0,203.0,3649.0,GAS DRIVE,2222:TRUNCATION-EDGE,8750.0,5050.0,1.0,,CARBONIFEROUS,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE,TIGHT CARBONATELATERAL FACIES CHANGE,140.0,0.5,14.63,CARBONATES,WACKESTONE/PACKSTONE,BRYOZOAN/CRINOID,,INTERCRYSTALLINE,11.0,126.0,0.0,,0.0,1.1400000000000001,,47.0,,3636.0,50000.0,8.4,267.0,,,85.7,GAS RECYCLING,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,ACIDIZATION,,,,SIDETRACKING,5360.0
HATTERS POND,SMACKOVER,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,30.8976,-88.066,GAS-CONDENSATE,2007.0,SECONDARY RECOVERY,DECLINE,50.00,640.0,19012.0,ONSHORE,-100.0,325.0,9170.0,GAS DRIVE,1153:DIAPIRIC PIERCEMENT ANTICLINE,17750.0,17650.0,3.5,670.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE, LATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,120.0,0.3,15.85,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,MOLDIC/VUGGY,13.6,12.0,54.0,,0.0,3.04,,255.0,,,185000.0,30.5,354.0,,,65.0,GAS RECYCLING,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACID FRACTURING,,,,SIDETRACKING,18023.0
HUGOTON-PANHANDLE,CHASE (HUGOTON),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,ANADARKO,37.0386,-101.0039,GAS,2009.0,PRIMARY RECOVERY,SECONDARY DECLINE,9000.00,320.0,300000.0,ONSHORE,-3000.0,90.0,435.0,GAS DRIVE,2111:LATERAL FACIES CHANGE,1700.0,-1300.0,0.6,1150.0,PERMIAN,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,SHALENONE,271.0,0.19,13.72,CARBONATES,MUDSTONE/WACKESTONE,,,MOLDIC/VUGGY,13.0,9.0,0.0,,0.0,7.0,,,,,,25.0,6700.0,,,86.0,,,DRILLING/STIMULATION,INFILL WELL/HORIZONTAL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,,,,
HUGOTON-PANHANDLE,CHASE (PANHANDLE),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,ANADARKO,37.0386,-101.0039,GAS,2003.0,ENHANCED OIL RECOVERY,SECONDARY DECLINE,20000.00,0.0,110000.0,ONSHORE,-3000.0,125.76867329644308,435.0,GAS DRIVE,1162:BURIED-PALEORELIEF COMPACTION ANTICLINE,1750.0,-1250.0,1.0,1260.0,PERMIAN,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE, LATERAL FACIES CHANGE/SEALING FAULT,,,,CARBONATES,MUDSTONE/WACKESTONE,,,MOLDIC/VUGGY,16.0,,39.0,,0.0,0.0,,,,,,,,,24.0,,CONTINUOUS WATER INJECTION/GAS INJECTION,THERMAL,DRILLING/STIMULATION,HORIZONTAL WELL,HYDRAULIC FRACTURING (SINGLE STAGE),,,,,
JIHAR,KURACCHINE (C2-D1),1P ,SYRIA,MIDDLE EAST,PALMYRIDES FOLDBELT,34.8718,37.5432,GAS-CONDENSATE,2005.0,DEVELOPING,DEVELOPING,,0.0,,ONSHORE,-1920.0,213.8,4455.0,AQUIFER DRIVE,1111:THRUST ANTICLINE,9324.0,7405.0,12.0,876.0,TRIASSIC,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE,SHALE/TIGHT CARBONATESEALING FAULT,818.0,0.24,49.07,CARBONATES,MUDSTONE,,TYPE I,FRACTURE,5.8,,41.0,,2.43,0.75,,434.0,,,260000.0,22.0,,,,,,,,,,,,,,
JINGBIAN,MAJIAGOU-5,1P ,CHINA,ASIA-PACIFIC,ORDOS,37.6667,108.8333,GAS,2005.0,PRIMARY RECOVERY,PEAK OR PLATEAU,359.00,1000.0,92852.0,ONSHORE,-4333.0,219.0,4582.0,GAS DRIVE,2211:REGIONAL SUBCROP,9800.0,5467.0,1.0,420.0,ORDOVICIAN,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATESHALE-FILLED CHANNEL/NON-KARSTIC ZONE,147.64,,14.0,CARBONATES,MUDSTONE/BRECCIA,,TYPE II,VUGGY,5.6,3.0,0.0,,0.0,1.4000000000000001,,,,,,21.0,2101.0,,,64.0,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION/ACID FRACTURING,,GAS LIFT/PLUNGER LIFT,,COILED TUBING TREATMENT/FOAM LIFT TREATMENT/HYDRATE INHIBITOR TREATMENT/SAND CLEANING/SCALE REMOVAL/WATER DRAINAGE ASSISTED GAS PRODUCTION,
JINTAN,MIDDLE MIOCENE,1P ,MALAYSIA,ASIA-PACIFIC,SARAWAK,5.463,112.566,GAS,2001.0,PRODUCING,,7.00,0.0,,OFFSHORE,425.0,161.839158618193,2780.0063133582225,AQUIFER DRIVE,2121:ORGANIC BUILDUP,4681.0,5106.0,5.0,317.0,NEOGENE,13:ORGANIC BUILDUP,LAYER-CAKE,SHALE/TIGHT CARBONATENON-FRACTURED ZONE/NON-KARSTIC ZONE,,0.73,70.1,CARBONATES,WACKESTONE/PACKSTONE/GRAINSTONE/FLOATSTONE,CORAL/RHODOLITE/RUDIST,TYPE IV,INTERPARTICLE/MOLDIC/FRACTURE/VUGGY,29.0,,49.0,,0.0,0.0,,80.0,,,21000.0,15.0,,,,67.5,,,DRILLING,INFILL WELL/HORIZONTAL WELL,,,,,,
JUMPING POUND,TURNER VALLEY,1P ,CANADA,NORTH AMERICA,CANADIAN ROCKY MOUNTAINS FOLD AND THRUST BELT,51.1425,-114.5786,GAS,2009.0,SECONDARY RECOVERY,DECLINE,16.00,640.0,11336.0,ONSHORE,-4800.0,195.0,3975.0,GAS DRIVE,1111:THRUST ANTICLINE,9600.0,4832.0,21.0,1604.0,CARBONIFEROUS,12:HIGH-ENERGY CARBONATE SAND,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/TIGHT CARBONATELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE/NON-FRACTURED ZONE,250.0,,42.67,CARBONATES,PACKSTONE/GRAINSTONE,BRYOZOAN/CRINOID,TYPE II,INTERCRYSTALLINE,8.3,45.0,50.0,,0.0,4.5,,9.3,,,,10.0,150.0,,,87.0,CONTINUOUS WATER INJECTION/GAS RECYCLING,,STIMULATION/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION/ACID FRACTURING,,,,HOT DIESEL CIRCULATION,5700.0
