1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,35_Well count (total all wells),38_Well count (total producer),46_Well count (current active producer),52_Well spacing (average) (ac),58_Production year (current),62_Production rate (current oil equivalent) (BOEPD),65_Water-cut (current) (%),66_Production year (peak),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),76_Temperature depth (ft TVDSS),77_Pressure (original) (psi),78_Pressure depth (ft TVDSS),80_Pressure year (current),81_Pressure (current) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),173_Net reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),213_Permeability (well test average) (mD),218_API gravity (average) (deg. API),222_Specific gravity (gas average),225_Viscosity (oil average) (cp),230_Mobility index (average) (mD/cp),236_Oil_impurities (average),242_Methane (average) (%),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),266_Pour point temperature (average) (deg. F),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),300_EUR oil equivalent (MMBOE),301_Remaining EUR oil (MMBO),302_Remaining EUR gas (BCFG),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),310_Recovery to date (of in-place oil) (%),311_Recovery to date (of in-place gas) (%),313_Recovery (best-fit ultimate oil) (%),314_Reservoir performance index (decimal fraction),315_EUR oil per production well (MMBO),319_Secondary recovery start date,320_Secondary recovery methods,324_EOR start date,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management)
AIN ZALAH,SHIRANISH,1P ,IRAQ,MIDDLE EAST,ZAGROS,36.7333,42.4833,OIL,1980.0,SECONDARY RECOVERY,DECLINE,,,,556.0,1980.0,,,,,ONSHORE,-1500.0,148.0,3600.0,2422.0,3600.0,1961.0,1840.0,AQUIFER DRIVE,113:INVERSION ANTICLINE,4930.0,3430.0,10.0,3145.0,CRETACEOUS,14:FORESLOPE-BASIN,TANK LIKE, NONE,2310.0,300.3,0.13,91.44,CARBONATES,WACKESTONE/PACKSTONE,PLANKTONIC FORAMINIFERA,TYPE I,FRACTURE,3.3,1.0,,31.5,0.75,,,2.6,,0.01,250.0,,1.18,1450.0,-25.6,11822.0,20.0,,37.0,,,,20.0,,,,,,,1983,CONTINUOUS WATER INJECTION,,,STIMULATION,,ACIDIZATION,,,,
AL HUWAISAH,SHUAIBA,1P ,OMAN,MIDDLE EAST,FAHUD SALT,21.9607,56.0452,OIL,2003.0,SECONDARY RECOVERY,PRIMARY REJUVENATING,144.0,,56.0,14.0,2003.0,37740.0,88.6,1973.0,41806.0,ONSHORE,-299.0,176.0,,2466.0,,2003.0,1776.0,AQUIFER DRIVE,1151:SALT-DIAPIR ANTICLINE,5056.0,4757.0,1.5,171.0,CRETACEOUS,13:ORGANIC BUILDUP,TANK LIKE, LATERAL FACIES CHANGE,250.0,100.0,0.4,30.48,CARBONATES,PACKSTONE/GRAINSTONE/BOUNDSTONE,RUDIST,,MOLDIC/VUGGY,21.0,20.0,,38.0,,1.2,16.7,1.5,,0.0,,,,870.0,,,,1566.0,391.0,121.0,,,24.97,,17.24,,21.0,0.04,2.72,2002,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,ESP/GAS LIFT,,COILED TUBING TREATMENT/SIDETRACKING/STEP-OUT DEVELOPMENT DRILLING/WATER PLUGGING
AL KHALIJ,MISHRIF,1P ,QATAR,MIDDLE EAST,THE GULF,25.9434,52.7391,OIL,2007.0,SECONDARY RECOVERY,PEAK OR PLATEAU,,34.00,34.0,820.0,2007.0,40000.0,75.0,,,OFFSHORE,197.0,127.0,3870.0,1915.0,3870.0,2003.0,1710.0,AQUIFER DRIVE,2231:ONLAP ONTO REGIONAL UNCONFORMITY,3543.0,3740.0,0.2,197.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE, LATERAL FACIES CHANGE,210.0,115.0,0.55,35.05,CARBONATES,RUDSTONE,CORAL/RUDIST,TYPE IV,VUGGY,20.0,10.0,600.0,28.0,,2.4,4.16,0.0,,0.0,232.0,,,,,210000.0,,,200.0,,,,,,,,,,,1999,CONTINUOUS WATER INJECTION,,,DRILLING/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL/EXTENDED REACH WELL,,,,,ACID WASH/SIDETRACKING
AL SHAHEEN,KHARAIB,1P ,QATAR,MIDDLE EAST,THE GULF,26.5833,51.9167,OIL,2011.0,DEVELOPING,DEVELOPING,168.0,,,0.0,2011.0,300000.0,,2011.0,300000.0,OFFSHORE,200.0,141.15185536815494,,1810.3307866256496,,,,GAS DRIVE,2111:LATERAL FACIES CHANGE,3000.0,3200.0,0.3,,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE,SHALE/TIGHT CARBONATELATERAL FACIES CHANGE,120.0,,,,CARBONATES,PACKSTONE/GRAINSTONE,ALGAE,,INTERCRYSTALLINE,23.0,3.0,,26.0,,,,1.9,,0.0,,,,,,,,17000.0,4250.0,,,,25.0,,2.06,,,,,,GAS INJECTION,,,DRILLING,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,,,,,
AL SHAHEEN,SHUAIBA,1P ,QATAR,MIDDLE EAST,THE GULF,26.5833,51.9167,OIL,2011.0,DEVELOPING,DEVELOPING,168.0,,,0.0,2011.0,300000.0,,2011.0,300000.0,OFFSHORE,200.0,137.4598916709441,,1637.277450504429,,,,GAS DRIVE,2111:LATERAL FACIES CHANGE,2700.0,2900.0,0.3,,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,JIGSAW-PUZZLE, LATERAL FACIES CHANGE,150.0,,,,CARBONATES,PACKSTONE/GRAINSTONE/BOUNDSTONE,CORAL,,MOLDIC/VUGGY,20.0,14.0,,30.0,,,,1.9,,0.0,,,,,,,,17000.0,4250.0,,,,25.0,,2.06,,,,,,GAS INJECTION,,,DRILLING,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,,,,,
ALABAMA FERRY,UPPER GLEN ROSE D ZONE,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,31.2143,-95.7981,OIL,2011.0,SECONDARY RECOVERY,SECONDARY MATURE,320.0,314.00,,160.0,2011.0,427.0,,1986.0,10131.0,ONSHORE,-200.0,220.0,9700.0,4948.0,9700.0,1963.0,2750.0,GAS DRIVE,2111:LATERAL FACIES CHANGE,8700.0,8500.0,1.5,1600.0,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,SHALE/TIGHT CARBONATELATERAL FACIES CHANGE,95.0,15.0,0.15,4.57,CARBONATES,GRAINSTONE,MOLLUSCS/OOLITE,,INTERPARTICLE/MOLDIC,12.0,20.0,,45.0,,0.11,180.0,0.0,,2.14,2000.0,,2.4,4527.0,,,25.0,100.0,37.0,1.6,,17.0,37.0,,35.4,,,,0.19,1988-01,CONTINUOUS WATER INJECTION,,,STIMULATION/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,,,STEP-OUT DEVELOPMENT DRILLING
ALBION-SCIPIO,TRENTON-BLACK RIVER,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,MICHIGAN,41.9937,-84.6016,OIL,1985.0,PRIMARY RECOVERY,MATURE,961.0,961.00,573.0,20.0,2012.0,1317.0,47.7,1961.0,32358.0,ONSHORE,-1100.0,105.0,2800.0,1593.0,2800.0,1987.0,,GAS DRIVE,241:DOLOMITIZATION-DISSOLUTION,3400.0,2300.0,0.5,400.0,ORDOVICIAN,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE/LABYRINTH,SHALE/TIGHT CARBONATELATERAL DIAGENETIC CHANGE/SEALING FAULT,600.0,,,121.92,CARBONATES,MUDSTONE/WACKESTONE/PACKSTONE,CRINOID,,INTERCRYSTALLINE/VUGGY,3.0,1.0,,42.0,,0.97,,0.0,21.92,1.6400000000000001,550.0,,1.23,1512.0,,225000.0,,336.0,172.2,2.4,,45.0,45.0,91.0,44.17,,,,0.14,,,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE),,ROD PUMP/ESP/PLUNGER LIFT,,GAS CONING CONTROL/PUMP SIZE OPTIMIZATION/RE-COMPLETION/RE-PERFORATION/SELECTIVE PERFORATION/STEP-OUT DEVELOPMENT DRILLING/WATER CONING CONTROL/WATER PLUGGING/WAX REMOVAL
ALBUSKJELL,TOR-EKOFISK,1P ,NORWAY,EUROPE,NORTH SEA CENTRAL,56.634,2.9973,GAS-CONDENSATE,1998.0,ABANDONED,,27.0,24.00,,200.0,1998.0,4095.0,,1981.0,68910.0,OFFSHORE,230.0,280.0,10500.0,7252.0,10500.0,,,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,9842.0,10072.0,8.0,1080.0,PALEOGENE/CRETACEOUS,14:FORESLOPE-BASIN,LABYRINTH,TIGHT CARBONATENON-FRACTURED ZONE,984.0,,0.9,,CARBONATES,,COCCOLITH,TYPE III,MICROPOROSITY,21.0,1.0,,48.0,0.7,,,0.2,,0.0,,160.0,,,,,35.0,223.0,161.0,,0.0,,,45.0,,45.15,,,,,,,,STIMULATION,,ACIDIZATION,,,,
ALIBEKMOLA,KT-I,1P ,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,48.474,57.6667,OIL,2004.0,DEVELOPING,DEVELOPING,,10.00,8.0,0.0,2008.0,,,2004.0,,ONSHORE,-750.0,100.0,6560.0,2828.0,6560.0,,,AQUIFER DRIVE,123:THRUST FAULT,5780.0,5230.0,10.0,564.0,CARBONIFEROUS,12:HIGH-ENERGY CARBONATE SAND,JIGSAW-PUZZLE, LATERAL FACIES CHANGE,1700.0,136.0,0.08,32.0,CARBONATES,PACKSTONE/GRAINSTONE,ALGAE/FORAMINIFERA,TYPE IV,INTERPARTICLE,10.0,20.0,24.7,30.0,,20.0,1.0,14.0,,0.0,400.0,,,,,110000.0,20.0,41.0,,,,,30.0,,,,,,,2004-07,CONTINUOUS WATER INJECTION,,,,,,,,,
ALIBEKMOLA,KT-II,1P ,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,48.474,57.6667,OIL,2004.0,DEVELOPING,DEVELOPING,,10.00,8.0,0.0,2008.0,15600.0,,2004.0,,ONSHORE,-750.0,145.0,10660.0,4930.0,10660.0,,,GAS DRIVE,123:THRUST FAULT,9480.0,8730.0,10.0,2165.0,CARBONIFEROUS,12:HIGH-ENERGY CARBONATE SAND,JIGSAW-PUZZLE, LATERAL FACIES CHANGE,607.0,109.26,0.18,32.92,CARBONATES,PACKSTONE/GRAINSTONE/BOUNDSTONE,ALGAE/FORAMINIFERA,TYPE IV,INTERPARTICLE,10.0,20.0,24.7,37.0,0.88,4.0,5.0,7.5,55.0,3.6,1340.0,8.0,,4060.0,7.0,120000.0,27.0,337.0,101.0,,,,30.0,,1.48,,,,,2004-07,CONTINUOUS WATER INJECTION,,,STIMULATION,,176_Net/gross ratio (average),,,,
AMPOSTA MARINO,MONTSIA,1P ,SPAIN,EUROPE,GULF OF VALENCIA,40.3864,0.7173,OIL,1989.0,ABANDONED,,,6.00,,100.0,1988.0,727.0,,1975.0,36000.0,OFFSHORE,200.0,261.0,6562.0,2830.0,6365.0,,2773.0,AQUIFER DRIVE,2212:PALEOSTRUCTURAL SUBCROP,5312.0,5512.0,20.0,853.0,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE, NON-KARSTIC ZONE/SEALING FAULT,1970.0,,,149.96,CARBONATES,WACKESTONE/PACKSTONE,PELOID,TYPE II,FRACTURE/CAVERNOUS,2.0,1.0,,17.4,,6.15,0.16,14.5,,70.0,345.0,,1.2,1770.0,65.0,11000.0,,110.0,55.6,0.0,,,51.0,,50.55,,,,9.27,1984,GAS INJECTION,,,,,,,,,
ANASAZI,PARADOX (DESERT CREEK),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,PARADOX,37.0789,-109.2333,OIL,2002.0,PRIMARY RECOVERY,MATURE,4.0,4.00,3.0,40.0,2002.0,106.0,0.0,1991.0,1309.0,ONSHORE,-4790.0,138.0,987.0,1945.0,987.0,1996.0,250.0,GAS DRIVE,2121:ORGANIC BUILDUP,5531.0,741.0,3.5,110.0,CARBONIFEROUS,13:ORGANIC BUILDUP,JIGSAW-PUZZLE,TIGHT CARBONATE/EVAPORITELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,80.0,46.0,0.57,14.02,CARBONATES,GRAINSTONE/BAFFLESTONE,PHYLLOID ALGAE,,SHELTER,14.1,15.0,,41.0,0.81,0.95,200.0,0.0,20.2,2.6999999999999997,364.0,,1.2,1023.0,,175000.0,15.0,10.96,2.55,0.51,,23.3,23.3,,18.61,,,,0.64,,,,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION,,,,SELECTIVE PERFORATION
ANETH,PARADOX (DESERT CREEK),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,PARADOX,37.3038,-109.2469,OIL,2008.0,ENHANCED OIL RECOVERY,MATURE,1050.0,535.00,430.0,0.0,2008.0,8968.0,,1961.0,71712.0,ONSHORE,-4750.0,122.0,930.0,2170.0,930.0,1998.0,2700.0,GAS DRIVE,2121:ORGANIC BUILDUP,5470.0,720.0,2.0,260.0,CARBONIFEROUS,13:ORGANIC BUILDUP,JIGSAW-PUZZLE,TIGHT CARBONATELATERAL FACIES CHANGE,180.0,81.0,0.45,15.24,CARBONATES,PACKSTONE/GRAINSTONE/BAFFLESTONE,PHYLLOID ALGAE,,MOLDIC/SHELTER,10.0,15.0,2.6,41.0,,0.53,28.3,0.2,10.8,0.0,660.0,,1.35,1739.0,10.0,150000.0,23.3,1440.0,585.0,141.0,,16.0,41.0,,30.83,,,,,1962-02,CONTINUOUS WATER INJECTION,1998,MISCIBLE,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION,MODIFICATION IN INJECTION PATTERN,ROD PUMP,,PUMP SIZE OPTIMIZATION/RE-COMPLETION
